,name,score,loc,lowest_price,category
0,한성대입구(혜화) 메이,4.6,6.6km,"40,000원",m
1,성북(보문동) 피아노,4.6,보문역 6번출구-7.3km,"35,000원",m
2,성신여대역 파브,4.6,CGV 인근 위치-7.3km,"38,000원",m
3,성신여대 YAJA 성신여대역점,4.7,7.4km,"40,000원",m
4,성신여대역 샤미소,4.6,할리스 돈암점 뒷편-7.4km,"40,000원",m
5,성신여대 브라운도트 성신여대점,4.8,7.5km,"50,000원",m
6,월곡(성북) 호텔 바로,4.8,홈플러스 월곡점 맞은편-9.7km,"45,000원",m
7,월곡 게이트5(GATE5),4.6,9.8km,"38,000원",m
8,성북(석계역) 리치,4.5,6호선 돌곶이역 도보5분-11.7km,"29,900원",m
9,성북(석계역) 나비,4.4,"돌곶이역 5번출구 도보 4분, 석계역 5번출구 도보 7분-11.8km","40,000원",m
10,성신여대역 Hotel The Artist (디 아티스트),4.8,7.6km,"50,000원",m
11,성신여대역 H Avenue (에이치 에비뉴),4.7,성신여대입구역 1번 출구 도보 3분-7.6km,"40,000원",m
12,성신여대역 리비에르,4.6,성신여대입구역 1번 출구 인근-7.5km,"40,000원",m
13,월곡 신화 무인텔,4.7,월곡역 6호선 2번출구-9.6km,"40,000원",m
14,성신여대역 아이비,4.7,성신여대역1번출구 도보 3분-7.5km,"35,000원",m
15,성신여대역 호텔 월드스테이,4.7,돈암 제일시장 인근 위치-7.2km,"40,000원",m
16,성신여대역 RG,4.7,성북구청 맞은편 위치-7.3km,"45,000원",m
17,성신여대역 갤럭시2,3.7,성북구청 후문 인근-7.2km,"30,000원",m
18,성신여대역 천일,4.2,7.5km,"20,000원",m
19,성북(종암동) 아이비,4.7,9.2km,"40,000원",m
20,성북(종암) 딘,4.5,9.2km,"45,000원",m
21,성북(종암) 투인원,4.7,9.1km,"45,000원",m
22,성북(정릉) 웨이브,4.4,7.8km,"35,000원",m
23,성북(석관동) 썬,3.5,11.5km,"38,000원",m
24,성북(종암) 마레,4.7,종암동 하이마트 뒷건물-9.1km,"40,000원",m
25,성북 W 미니호텔,4.3,길음역 3번출구 도보10분-8.2km,"30,000원",m
26,아리랑힐 호텔 동대문,4.7,성신여대입구역 6번출구 도보 1분-7.4km,"56,900원",h
27,DH 네상스 성신여대,4.7,성신여대역 1번출구 도보 3분-7.5km,예약마감,h
28,H Avenue 성신여대점,4.6,성신여대입구역 1번출구 도보 4분-7.6km,"48,000원",h
29,디 아티스트 호텔 성신여대점,4.5,성신여대입구역 1번출구 도보 3분-7.6km,"50,000원",h
