,name,score,loc,lowest_price,category
0,수유 4월 2일,4.5,수유역 5번출구 도보9분-10.6km,"33,000원",m
1,수유 르 레브 호텔,5.0,수유역 5번 출구 도보 5분-10.7km,"50,000원",m
2,수유 메리엘,4.6,수유역 5번출구 도보 10분-10.7km,"40,000원",m
3,수유 파티오,4.4,수유역 4번출구 도보5분이내-11km,"35,000원",m
4,수유 포시즌 호텔,4.5,11km,"35,000원",m
5,수유 디자인호텔 다니엘 캄파넬라,4.8,수유역 2번출구 도보 1분-11.2km,"45,000원",m
6,수유 리치 다이아몬드,4.7,4.19민주묘지역 1번출구 2분거리-11.5km,"49,000원",m
7,수유 하이,4.7,10.6km,"30,000원",m
8,수유 쏠라리움 HOTEL,3.9,11km,"38,000원",m
9,수유 넘버25 수유점,4.9,--10.8km,"45,000원",m
10,수유 ON & OFF(온앤오프),4.8,수유역 5번 출구 도보10분 내외-10.7km,"45,000원",m
11,수유 유리아 호텔,4.6,10.7km,"45,000원",m
12,수유 여우,4.5,수유역 3번출구 도보1분 거리-11.1km,"40,000원",m
13,수유 호텔 365,4.5,11.1km,"33,000원",m
14,수유 르씨엘,4.4,수유역 6번출구 도보2분-11.1km,"30,000원",m
15,수유 마이(MY) 호텔,4.8,수유역 5번출구 도보 5분-10.8km,"40,000원",m
16,미아 썸,4.4,미아사거리역 3번출구 5분-9.6km,"35,000원",m
17,미아사거리역 K(케이),4.5,9.5km,"35,000원",m
18,수유 러쉬(LUSH),4.6,수유역 3번 출구 도보4분-11.1km,"35,000원",m
19,미아사거리역 달동네,4.8,미아삼거리 인근 위치-9.6km,"35,000원",m
20,미아 몽,4.7,9.6km,"35,000원",m
21,수유 파레스 호텔,4.6,수유시장 숙박골목 초입에 위치-10.6km,"30,000원",m
22,수유 M (엠),4.9,수유역 4번출구 1분 거리-11km,"40,000원",m
23,수유 호텔 수,4.6,수유역 5번 출구 도보 9분-10.6km,"30,000원",m
24,수유 CAFE 72 (카페 72),4.8,국민은행 수유점 뒷골목에 있습니다-10.6km,"33,000원",m
25,수유 아지트,4.7,수유역에서 가장 가까운 모텔-11.1km,"40,000원",m
26,수유 솔리드 호텔,4.8,수유역 뒷골목 위치  / 피자헛 수유역점 후방-11.3km,"50,000원",m
27,수유 짝,4.7,번동 숙박거리 초입 위치-11.1km,"30,000원",m
28,미아 테마,4.3,삼양입구 사거리 위치-9.8km,"33,000원",m
29,수유(번동) 문,4.5,11.7km,"35,000원",m
30,수유 윈저,4.4,4호선 수유역 4번 출구-11km,"30,000원",m
31,수유 카누,4.4,강북구청 정면 옆 골목 위치-11.3km,"40,000원",m
32,수유 코오자자,4.8,"수유역 4번출구도보3분,나이트클럽도보2분-11km","35,000원",m
33,수유(미아) 팬,4.7,10.6km,"25,000원",m
34,미아 담스,4.6,"CGV 미아점, 옆건물스타벅스 미아점과 연결되어 있음-9.5km","45,000원",m
35,수유 리츠,4.4,수유역 4번출구 도보 4분-11km,"30,000원",m
36,미아 쉐르빌,4.7,미아사거리역 도보 3분-9.6km,"30,000원",m
37,미아 9 모텔,4.5,미아사거리역 2번출구 인근-9.6km,"35,000원",m
38,수유 CF(씨에프),4.2,수유역 3번출구 도보1분 거리-11.2km,"30,000원",m
39,수유 윈저주니어,4.5,수유역 5번출구 도보 2분-11.1km,"33,000원",m
40,수유 몽,4.6,11.4km,"40,000원",m
41,미아 카누(삼양동사거리),4.8,삼양동사거리 인근 위치-9.4km,"35,000원",m
42,수유 뷰,4.8,대한병원 후문 위치-10.8km,"30,000원",m
43,수유(우이동) 문,4.1,우이공원유원지 방면 도로쪽에 있습니다^^-12.7km,예약마감,m
44,수유(우이동) 인수,3.7,북한산우이역 인근-12.8km,"40,000원",m
45,수유 오투,4.4,국립4.19묘지 삼거리 인근-11.3km,"30,000원",m
46,수유 포유,3.9,성신여대 운정그린캠퍼스 바로 앞에 있어요!-10.7km,"25,000원",m
47,미아 영,3.9,미아역 5번출구 도보 8분 거리-9.9km,"30,000원",m
48,수유 연가,3.5,쉐보레 수유 전시장 맞은편에 위치하고 있습니다^^-10.6km,예약마감,m
49,수유 썬앤,4.0,수유역 5번출구 도보 7분-10.7km,"25,000원",m
50,미아 황금,4.6,10km,"28,000원",m
51,미아 로코,4.9,9.6km,"25,000원",m
52,미아 갤러리,3.9,9.6km,"50,000원",m
53,미아 유진,3.5,9.6km,"35,000원",m
54,미아 휴,4.9,9.7km,"30,000원",m
55,미아 벌꿀,4.1,미아삼거리역 6번출구-9.6km,"28,000원",m
56,미아사거리역 대원,3.8,9.5km,"30,000원",m
57,미아 붐,4.3,미아사거리역 인근 위치-9.6km,"33,000원",m
58,미아 블루,4.7,"미아역 5번출구 도보 5분, 미아삼거리역-10.2km","35,000원",m
59,미아 잠,3.0,CGV 미아 사거리역 점 뒷편-9.6km,"35,000원",m
60,수유 팜비치,1.0,10.6km,"30,000원",m
61,미아(삼양사거리역) 러브,4.0,9.5km,"28,000원",m
62,수유 영 호텔,4.9,11.3km,"40,000원",m
63,수유 다니엘 캄파넬라,4.8,오패산로 79길 6 수유역 도보 1분-11.2km,"47,000원",h
64,미아 빅토리아 호텔,4.3,미아사거리역 3번출구 도보 3분-9.5km,예약마감,h
65,수유 리치 다이아몬드,4.5,경전철 4.19민주묘지역 도보 2분-11.5km,"50,000원",h
66,쏠라리움 시티,2.8,수유역 4번출구 300m-11km,"40,000원",h
