,name,score,loc,lowest_price,category
0,신림 U HOTEL(유 호텔),4.6,신림역 6번출구 도보 3분-8.3km,"40,000원",m
1,신림 YAJA 신림 1호점,4.5,신림역 7번출구 도보 2분-8.3km,"35,000원",m
2,신림 신트라,4.7,2호선 신림역 7번출구-8.4km,"45,000원",m
3,신림 YAJA 신림 2호점,4.3,관악 우체국 인근-8.4km,"33,000원",m
4,사당 KOTEL,4.6,사당역 5번출구 도보 5분-9.9km,"50,000원",m
5,사당 넘버25 사당역점,4.7,10.1km,"35,000원",m
6,서울대입구 바이올린.H,4.7,관악구청삼거리 도보 3분-8.9km,"35,000원",m
7,노량진 흥스테이,4.3,9호선 노량진역 6번출구 도보 3분-5.3km,"40,000원",m
8,신림 봄(Bom) 1호점,4.5,10km,"32,000원",m
9,노량진 브릭12,3.9,9호선 노량진역 3번출구 도보 3분-5.3km,"35,000원",m
10,신림 HOTEL 어반,4.5,"신대방역 1번출구, 난곡사거리-9.1km","65,000원",m
11,신림 K2,4.7,신림역 7번출구 도보4분이내-8.4km,"35,000원",m
12,서울대입구 린,4.6,8.9km,"35,000원",m
13,서울대입구 54번가,4.7,롯데 시네마 인근 위치-8.8km,"55,000원",m
14,서울대입구 폭스,4.4,서울대입구역 7번출구 5분거리-8.6km,"40,000원",m
15,사당 메트로21,4.7,사당역 4번 출구 도보 3분-10.1km,"38,000원",m
16,신림 루쏘,4.5,신림역 8번출구 도보 3분-8.4km,"34,000원",m
17,신림 짝,4.6,신림역 7번출구 도보 5분-8.4km,"34,000원",m
18,신림 뜨랑블루,4.6,신림역 5번출구 도보3분거리-8.5km,"55,000원",m
19,사당 M,4.6,"사당역 5번,6번 출구 바로앞-9.9km","40,000원",m
20,사당 카리스호텔,4.5,사당역 5번 출구 도보 약 2분 거리-10km,"40,000원",m
21,사당 MRG,4.5,9.4km,"35,000원",m
22,사당 호텔 더 라움,4.4,사당역 5번출구에서 도보 2분이내-10km,"35,000원",m
23,신림 나이스타임,4.9,신림역 7번출구 도보3분-8.4km,"40,000원",m
24,신림 M,4.2,신림역 8번출구 도보3분-8.4km,"35,000원",m
25,신림 허니,4.6,르네상스 쇼핑몰 인근-8.4km,"30,000원",m
26,신림 도미니크,4.7,8.9km,"40,000원",m
27,신림 릴,4.5,신림역 7번출구 인근 위치-8.2km,"33,000원",m
28,신림 돈키호텔,4.3,신림역 7번출구 도보 10분-8.4km,"32,000원",m
29,사당 램파트,4.4,사당역 4번출구 도보 3분 / 사당역 4번 출구에서 1KM -10.1km,"28,000원",m
30,신림 르네상스,4.7,신림역 7번출구 도보 1분-8.4km,"40,000원",m
31,사당 티트리호텔 사당점,4.7,10.1km,"35,000원",m
32,서울대입구 담,4.6,관악구청 삼거리 인근-9km,"45,000원",m
33,노량진 N.Stay,4.7,5.3km,"42,000원",m
34,신림 포도,4.5,8.4km,"40,000원",m
35,서울대입구 썸,4.5,"서울대입구 3,4번 출구-8.9km","40,000원",m
36,동작(대방) 휴,3.6,6.8km,"45,000원",m
37,서울대입구 본파크 모텔,3.6,서울대입구 7번 출구-8.6km,예약마감,m
38,신림 캐슬,3.2,신림역 6번출구 도보 3분거리-8.4km,"33,000원",m
39,신림 볼륨,4.7,"신림역 7,8번출구 도보5분이내-8.4km","35,000원",m
40,서울대입구 ZIP,4.6,관악구청 삼거리 인근-9km,"45,000원",m
41,신림 쿨,4.6,신림역 7번출구 7분거리-8.2km,"40,000원",m
42,동작 뉴욕,4.5,장승배기역-6.3km,"38,000원",m
43,서울대입구 엔젤,4.6,서울대입구역 7번 출구 2분-8.7km,"35,000원",m
44,서울대입구 휠,4.0,2호선 서울대입구역 4번 출-8.9km,"35,000원",m
45,서울대입구 쉐르빌,4.4,9km,"35,000원",m
46,노량진 노블,4.5,5.6km,"35,000원",m
47,신림 타워,4.6,신림역 7번 출구 인근 위치-8.3km,"35,000원",m
48,신림 로즈,4.1,신림역 4번출구 도보 10분-8.6km,"40,000원",m
49,노량진 닉스,4.5,5.3km,"35,000원",m
50,노량진 씨티모텔,4.0,5.4km,"28,000원",m
51,신림 더스토리,4.2,신림역 6번출구 인근-8.2km,"30,000원",m
52,신림 조이,4.2,8.2km,"25,000원",m
53,신림 올인,4.7,8.2km,"30,000원",m
54,신림 뷰모텔,4.3,신림역6번출구 도보10분-8.2km,"30,000원",m
55,노량진 대흥,4.5,노량진역 6번출구 인근-5.2km,"40,000원",m
56,신림 우산속모텔,4.6,8.2km,"40,000원",m
57,신림 홀리데이,4.6,신림역 4번 출구 도보 3분-8.7km,"35,000원",m
58,신림 모아모아,4.5,신림역 6번출구 7분거리-8.2km,"30,000원",m
59,신림 CS Premier,4.8,9.2km,예약마감,m
60,신라스테이 구로,4.6,구로디지털단지역 6번출구 도보 6분-8.9km,"56,670원",h
61,SR 호텔 사당점 (구) 카라쉬 관광 호텔,4.7,사당역 8번출구 50m-9.8km,"70,000원",h
62,뜨랑블루 호텔,4.5,신림역 5번출구 도보 3분-8.5km,"60,000원",h
63,WD호텔,4.7,신림역 6번출구 도보 2분-8.4km,"65,000원",h
64,호텔 어반,4.0,신대방역 1번출구 도보10분-9.1km,"65,000원",h
65,도미니크 호텔,4.5,신대방역 1번출구 도보 10분-8.9km,"57,900원",h
66,핸드픽트 호텔,4.7,신대방삼거리역 1번출구 도보 5분-6.6km,"74,000원",h
67,드림인서울 게스트하우스,4.5,8.2km,"30,000원",g
68,서울 샤갈의집,4.0,낙성대역 8번출구-9.5km,"100,000원",g
