,name,score,loc,lowest_price,category
0,신촌 디토(Ditto),4.4,이대역 2번 출구 도보 5분-296m,"35,000원",m
1,신촌 월 (月),4.6,이대역 1번출구 도보 3분-335m,"40,000원",m
2,이대 H Avenue,4.6,"이대역 6번 출구 도보 3분, 신촌역 5번 출구 도보 5분-487m","34,900원",m
3,신촌 피오나,4.4,신촌역 4번출구 도보8분-524m,"33,000원",m
4,신촌 오렌지카운티,4.2,신촌역 4번출구 도보 5분-552m,"32,000원",m
5,신촌 에이플러스,4.3,신촌역 4번출구 도보 5분-560m,"33,000원",m
6,신촌 모모,4.6,신촌역 4번출구 인근 위치-569m,"40,000원",m
7,신촌 DAISY(데이지),4.6,신촌역 3번출구 도보 10분-579m,"33,000원",m
8,신촌 MAC(맥),4.7,신촌역 4번출구 3분거리 -585m,"45,000원",m
9,신촌 FORESTAR(포레스타),4.6,신촌 유플렉스 도보 3분-615m,"40,000원",m
10,신촌 림,4.4,신촌역 3번출구 도보 5분-621m,"35,000원",m
11,신촌 바론드파리,4.6,신촌역 4번출구 도보 10분-632m,"40,000원",m
12,신촌 가을,4.5,신촌역 3번출구 도보 10분-633m,"40,000원",m
13,신촌 Cindy(신디),4.7,신촌역 3번출구 도보 5분-634m,"38,000원",m
14,신촌 이채 무인호텔,4.4,640m,"35,000원",m
15,신촌 애니타임,4.9,641m,"40,000원",m
16,신촌 코자(coza),4.3,신촌역 3번출구 도보 3분-648m,"35,000원",m
17,신촌 루이,4.6,신촌역 4번출구 도보 5분-650m,"40,000원",m
18,신촌 슈미에르,4.6,신촌역 4번출구 도보 3분-659m,"30,000원",m
19,신촌 호텔 밀하우스(MILLHAUS),4.9,신촌역 4번출구 도보 3분이내-667m,"70,000원",m
20,신촌 렉시,4.4,신촌역 3번출구 도보 4분-670m,"37,000원",m
21,신촌 스프링21,4.5,신촌역 4번출구 도보로 5분-681m,"40,000원",m
22,신촌 YAJA 신촌점,4.4,신촌이대거리 내 위치-685m,"35,000원",m
23,신촌 Chic(쉬크),4.6,신촌역 4번출구 3분거리-695m,"36,000원",m
24,신촌 라싸,4.4,신촌역 3번출구 도보 3분-722m,"45,000원",m
