,name,score,loc,lowest_price,category
0,응암 시크,4.7,3.9km,"45,000원",m
1,응암 래플즈,4.4,새절역 2번출구 도보8분-4km,"40,000원",m
2,은평 씨에스 에비뉴 호텔,4.7,녹번역 3번출구 도보 2분-4.3km,"50,000원",m
3,응암 몽,4.2,응암역 4번출구 도보 10분-4.7km,"37,000원",m
4,은평 브릭스 호텔,4.8,서부병원앞-4.7km,"65,000원",m
5,불광 FORESTAR (포레스타),4.6,불광역 3번출구 인근-5.4km,"45,000원",m
6,불광 CS,4.6,불광역 3번출구 도보 2분-5.4km,"38,000원",m
7,불광 호텔 루136,4.8,5.4km,"55,000원",m
8,불광 라비야,4.5,역촌역 3번출구 도보 5분-5.4km,"45,000원",m
9,불광 XIAN(시안),4.7,불광역 3번출구 도보 3분-5.5km,"50,000원",m
10,불광 노블레스,4.8,불광역 3번출구 인근-5.5km,"40,000원",m
11,불광 SOL,4.6,불광역 3번출구 도보 3분-5.5km,"40,000원",m
12,불광 DU호텔,4.6,5.5km,"35,000원",m
13,연신내 폼,4.6,연신내역 4번 출구 인근-6.5km,"40,000원",m
14,연신내 만토바,4.5,연신내역 4번출구 도보1분-6.6km,"35,000원",m
15,연신내 레드,4.0,연신내역 5번출구 도보 2분-6.6km,"35,000원",m
16,연신내 MAC(맥),4.8,3호선 연신내역 1번 출구 1분 거리-6.8km,"40,000원",m
17,연신내 W,4.7,3호선 연신내역 1번출구 1분거리-6.9km,"50,000원",m
18,연신내 타오호텔,4.5,6.9km,"50,000원",m
19,연신내 HOTEL THE ARTIST,4.7,GS25 편의점 인근-7.1km,"50,000원",m
20,연신내 YAJA 연신내역점,4.5,연신내역 4번출구 도보5분-6.5km,"35,000원",m
21,불광 라비다 호텔,4.6,5.5km,"40,000원",m
22,응암 이코노미,4.6,3.8km,"35,000원",m
23,응암 Y호텔,4.7,3.8km,"45,000원",m
24,녹번 호텔 갤러리,4.5,역촌역 4번 출구 도보 5분-4.9km,"50,000원",m
25,녹번 아트,4.7,4.9km,예약마감,m
26,불광 톰+,4.5,5.9km,"30,000원",m
27,연신내 K,4.6,연신내역 3호선 연신내 4번출구 1분거리-6.6km,"35,000원",m
28,불광 아비숑,4.6,5.5km,"35,000원",m
29,응암 카누,4.3,3.7km,"40,000원",m
30,불광 M&A,4.9,불광역 4번출구 도보 5분-5.5km,"38,000원",m
31,연신내 쏠,4.8,연신내역 5번출구 도보3분-6.6km,예약마감,m
32,불광 G,4.1,5.5km,"30,000원",m
33,연신내 디스테이션(DS),4.6,연신내역 5번출구 도보 3분-6.6km,"33,000원",m
34,불광 리츠,4.5,불광역 2번출구 도보1분이내-5.5km,"35,000원",m
35,연신내 핑크,3.9,6.9km,"40,000원",m
36,연신내 발리,3.8,3호선 연신내역 1번 출구 1분 거리-6.8km,"35,000원",m
37,은평 대명,5.0,역촌역 2번 출구 도보 5분-5.4km,예약마감,m
38,불광 티파니,3.6,불광역 6번출구 도보5분-5.5km,"35,000원",m
39,호텔 루 136,4.7,역촌역 3번출구 도보 4분-5.4km,"60,000원",h
40,불광 포레스타 호텔,4.2,불광역 4번출구 도보 5분-5.4km,"45,000원",h
41,호텔 디 아티스트 연신내점,4.3,연신내역 약 5분-7.1km,"50,000원",h
42,브릭스 호텔,4.5,응암역 4번출구 도보 8분-4.7km,"65,000원",h
43,은평 씨에스에비뉴 호텔,4.8,녹번역 3번출구 도보3분-4.3km,"60,000원",h
44,프라임 인 서울 호텔,4.5,연신내역 3번출구 도보 5분-6.4km,예약마감,h
45,서울 북한산글램핑,3.5,9.9km,"169,000원",f
