,name,score,loc,lowest_price,category
0,여의도 벤허,4.5,"9호선 국회의사당역, 여의도역 인근-3.9km","45,000원",m
1,여의도 코보스호텔,4.6,여의도 공원 도보 5분-3.9km,"49,900원",m
2,영등포 바모스 호텔,4.8,5.4km,"40,000원",m
3,영등포 Blvd호텔 오라,4.6,5.5km,"40,000원",m
4,영등포 YAJA 영등포점,4.4,영등포역 5번출구 도보7분-5.5km,"27,900원",m
5,영등포 Hotel YOLO,4.6,5.5km,"35,000원",m
6,영등포 부띠크 HOTEL SB,4.3,영등포역 5번출구 도보 5분-5.5km,"37,990원",m
7,영등포 페트라,4.6,영등포 로터리 인근 위치-5.5km,"39,900원",m
8,영등포 Hotel Soo,4.4,5.5km,"27,000원",m
9, 영등포 호텔 더 휴,4.6,영등포역 5번출구-5.6km,"39,000원",m
10,영등포 프로방스,4.7,5.6km,"35,000원",m
11,영등포 CC,4.7,영등포역5번출구 도보 10분-5.6km,"40,000원",m
12,영등포 포유,4.7,영등포 시장사거리 근처 -5.6km,"30,000원",m
13,영등포 맥스,4.1,영등포역5번출구 도보5분 네비주소:영등포동3가 16-1-5.6km,"29,900원",m
14,영등포 프리호텔,4.3,"영등포역 앞 로터리, 영등포역 지하쇼핑몰 5번 출구 인근 / NAVI-영등포동6가 71-2-5.6km","30,000원",m
15,영등포 Boutique Moon 호텔,4.2,영등포역 5번출구 도보10분-5.6km,"30,000원",m
16,영등포 넘버25 영등포점,4.8,5.6km,"40,000원",m
17,영등포 코코,4.7,5.6km,"32,000원",m
18,영등포 호텔 르오 HOTEL LE O,4.7,영등포역 5번 출구-5.6km,"37,000원",m
19,영등포 데쟈트(DES ARTS),4.7,영등포역 3분거리-5.6km,"50,000원",m
20,영등포 코모도,4.3,영등포역 5번출구 도보5분-5.7km,"27,000원",m
21,영등포 라이프스타일 i HOTEL,4.3,5.5km,"45,000원",m
22,영등포 LEADERS,4.6,5.5km,"35,000원",m
23,영등포 라이프스타일 F HOTEL,4.4,영등포역 5번출구 도보5분-5.5km,"45,000원",m
24,보라매 봄(Bom) 2호점,4.6,보라매역 4번출구 인근-7.1km,"55,000원",m
25,영등포 호텔 브릿지,4.6,양평역 2번출구 도보 5분-6.7km,"50,000원",m
26,영등포 샤또호텔(chateau),4.6,6.1km,"50,000원",m
27,영등포 LOFT HOTEL,4.7,당산역 도보 5분 이내 HOTEL LOFT-4.8km,"74,000원",m
28,영등포 NINE,4.6,영등포역 5번출구 인근-5.6km,예약마감,m
29,영등포 아이리스,4.8,KB 국민은행 인근-5.6km,"35,000원",m
30,영등포 씨엘(CL),4.5,5.8km,"34,000원",m
31,영등포 샵,4.5,영등포역 5번출구 도보5분-5.6km,"25,000원",m
32,영등포 CF,4.3,영등포역 5번출구 도보10분-5.5km,"25,000원",m
33,영등포 자딘호텔,4.7,영등포역 5번출구 450m-5.7km,"35,000원",m
34,영등포 레드,4.5,1호선 영등포역 5번출구-5.5km,"35,000원",m
35,영등포구청역 SL,4.5,영등포 구청 도보 1분-5.5km,"40,000원",m
36,영등포 호텔 그곳에,4.4,영등포역 5번출구 도보 5분-5.6km,"30,000원",m
37,영등포 뉴욕,4.6,영등포역 5번 출구-5.5km,"30,000원",m
38,당산 Hotel K,4.3,4.7km,"50,000원",m
39,영등포 아하바(AHAVA),4.7,영등포역 5번출구 도보 5분-5.6km,"34,000원",m
40,영등포 하라스(Harrahs),4.5,영등포역 5번출구 도보 5분-5.6km,"27,000원",m
41,영등포 머스트스테이 선유도역점,4.3,4.8km,"35,000원",m
42,대림 캐슬론,4.4,8.5km,"40,000원",m
43,영등포 꿈의궁전,4.7,5.7km,"27,000원",m
44,영등포 헬로,4.6,영등포역 3번 출구 3분거리 -5.7km,"35,000원",m
45,여의도 라다,4.5,4.6km,"75,000원",m
46,영등포시장 맥스모텔(영등포시장),3.0,5.4km,"30,000원",m
47,영등포 썬모텔,4.4,7.3km,"30,000원",m
48,영등포 폴라리스,3.5,5.4km,예약마감,m
49,영등포 뉴신라,4.3,5.6km,"40,000원",m
50,영등포 호텔 갤럭시,4.2,5.6km,"40,000원",m
51,당산 강남모텔,4.1,당산역 3분거리-4.6km,"35,000원",m
52,당산 G,4.3,4.7km,예약마감,m
53,영등포 수정모텔,3.5,6.9km,예약마감,m
54,영등포 허브,4.0,6.1km,예약마감,m
55,영등포 캡슐M,3.5,6km,예약마감,m
56,영등포 신영,4.1,영등포역 5번출구 도보 3분-5.7km,"30,000원",m
57,영등포 굿모닝서울,3.5,5.6km,예약마감,m
58,영등포 동일모텔,4.8,7.4km,"30,000원",m
59,호텔 로프트 서울,4.6,당산역 1번출구 500m-4.8km,"74,000원",h
60,코트야드 바이 메리어트 서울 타임스퀘어,4.7,영등포역 5번출구 500m-5.9km,"139,150원",h
61,페어필드 바이 메리어트 서울,4.7,영등포역 5번출구 도보 3분-5.7km,"58,950원",h
62,더 스테이트 선유,4.7,"선유도역 1번,2번출구 도보 2분-5km","65,000원",h
63,여의도 M 호텔,4.8,국회의사당역 1번 출구 도보 3분-4km,"50,000원",h
64,콘래드 서울,4.9,여의도역 3번출구 550m-4.2km,"275,000원",h
65,더 파크호텔 서울,4.6,선유도역 1번 출구 도보 1분-5km,"49,000원",h
66,영등포 GMS 호텔,4.7,영등포역 5번출구 도보 4분-5.6km,"67,000원",h
67,토요코인 서울영등포,4.8,영등포역 5번출구 480m-5.5km,"66,000원",h
68,영등포 갤럭시 호텔,3.8,영등포시장역 2번출구 도보 9분-4.8km,"60,000원",h
69,호텔 브릿지(구마루),4.5,양평역 2번출구 도보 8분-6.7km,"51,800원",h
70,영등포 VIP호텔,2.3,신길역 3번출구 도보 1분-5.4km,"50,000원",h
71,MUST STAY 호텔 선유도,4.5,선유도역 4번 출구 도보 4분-4.8km,"35,000원",h
72,베니키아 호텔 카카오,4.1,영등포역 5번출구 도보 4분-5.5km,"45,000원",h
73,호텔 갤럭시 투어 영등포,4.3,영등포역 5번출구 도보 5분-5.6km,예약마감,h
74,부띠크 호텔 SB 여의도,4.2,영등포역 5번출구 도보 5분-5.5km,"29,990원",h
75,페어몬트 앰배서더 서울,4.8,서울특별시 영등포구 여의대로 108 여의나루역  1번출구 500m-4km,"341,000원",h
76,여의도 메리어트 호텔,4.8,여의도역 1번 출구 도보 5분-4.8km,"201,460원",h
77,호텔 더 디자이너스 여의도,4.3,국회의사당역 3번출구 도보 5분-4.1km,"49,000원",h
78,여의도 벤허 호텔,4.4,국회의사당역 1번출구 도보5분-3.9km,"45,000원",h
79,켄싱턴호텔 여의도,4.4,국회의사당역 3번출구 도보5분-3.8km,"69,900원",h
80,여의도 코보스 호텔,4.4,국회의사당역 1번출구 200m-3.9km,"49,900원",h
81,글래드 여의도,4.7,국회의사당역 4번출구 도보 1분-4.3km,"62,500원",h
82,라이프스타일 F 호텔,4.3,영등포역 5번출구 300m-5.6km,"47,060원",h
83,서울 Y.Road135 게스트하우스,4.5,양평역-6.3km,"30,000원",g
84,서울 아폴로 게스트하우스,4.3,6.1km,"24,000원",g
85,영등포 다다름 게스트하우스,4.2,6.5km,"35,000원",g
86,영등포 캡슐마중 게스트하우스,4.7,5.9km,"400,000원",g
87,서울 투어인하루미 게스트하우스,3.5,영등포구청역 6번출구 방향-6.1km,"50,000원",g
