,name,score,loc,lowest_price,category
0,왕십리 리젠트호텔,4.6,왕십리역 1번출구 도보5분-8km,"35,000원",m
1,왕십리 컬리넌,4.6,왕십리역 1번출구 도보5분 -8km,"50,000원",m
2,왕십리 저스트스테이호텔 왕십리역점,4.8,8.1km,"40,000원",m
3,왕십리 유썸,4.5,왕십리역 2번 출구 5분거리-8.1km,"35,000원",m
4,왕십리 FULLMOON,4.7,왕십리역 2번출구 도보 3분-8.1km,"40,000원",m
5,왕십리 Casual Hotel H,4.7,성동구의회 건너편-8.1km,"50,000원",m
6,왕십리 FORESTAR (포레스타),4.6,8.1km,"50,000원",m
7,왕십리 파레스,4.3,성동구청 인근 위치-8.1km,"35,000원",m
8,왕십리 아모렉스,4.4,왕십리 1번출구 도보 5분-8.1km,"45,000원",m
9,왕십리 Remark(리마크),4.8,2호선 왕십리역 2번출구 인근-8.1km,"40,000원",m
10,왕십리 스위트,4.4,왕십리역 2번출구 도보 5분-8.1km,"31,000원",m
11,왕십리(한양대) 태양 모텔,4.7,8.5km,"40,000원",m
12,왕십리 쥬방스,4.7,성동구청 인근 위치-8.1km,"35,000원",m
13,왕십리 라테라,4.7,왕십리 1번 출구 도보 3분-8.1km,"31,000원",m
14,왕십리 버니3,4.5,8km,"30,000원",m
15,성수 드래곤스테이,4.0,10km,예약마감,m
16,왕십리 코림,4.6,왕십리역 1번 출구 도보8분-8.1km,"30,000원",m
17,상왕십리 하루(HARU),4.6,7.7km,"33,000원",m
18,성수 빅토리아,4.5,성수역 4번출구 도보 2분-9.9km,"50,000원",m
19,왕십리 파라다이스,4.3,8km,"35,000원",m
20,금호 서중모텔,3.9,3호선 금호역 1/2번 출구 주차1대가능-6.7km,"35,000원",m
21,금호 서일,5.0,7.2km,"35,000원",m
22,금호 금호모텔,1.0,7km,"35,000원",m
23,왕십리 현대모텔,4.7,왕십리역 10번출구 도보5분-7.8km,"35,000원",m
24,금호 별장,3.0,7.3km,"35,000원",m
25,성수 목화장,3.5,성수역 3번출구 도보 5분-10.5km,예약마감,m
26,왕십리 미르,4.2,왕십리 2번출구 5분거리-8.1km,"40,000원",m
27,금호 스타장,3.5,7.2km,"35,000원",m
28,왕십리 THE STAY(더 스테이),3.5,8km,"40,000원",m
29,성수 팰리스,3.6,"뚝섬 유원지, 건대 먹자골목-10.6km","45,000원",m
30,왕십리 포레스타 호텔,4.2,"왕십리역 1,2번출구 도보 2분-8km","50,000원",h
31,호텔 포코,4.4,성수역 3번출구 도보1분-10.2km,"88,000원",h
32,스테이 서울 왕십리,5.0,"왕십리역 6번, 13번 출구 도보 5분-8.7km",예약마감,h
33,왕십리 아모렉스 호텔,3.9,왕십리역 1번출구 도보 3분-8.1km,"60,000원",h
34,호텔 컬리넌 왕십리,3.8,왕십리역 1번출구 도보2분-8km,"55,000원",h
35,서울숲 스테이,4.8,뚝섬역 8번 출구 / 서울숲역 1번 출구-9km,"30,000원",g
