,name,score,loc,lowest_price,category
0,용산 레인보우 호텔,4.5,3.3km,"60,000원",m
1,을지로입구역 요기는 무인텔,4.6,3.4km,"50,000원",m
2,한남 67,3.8,한남오거리 도보5분-6.2km,"65,000원",m
3,용산 아모르,4.5,삼각지역 3번출구 도보5분-4km,"55,000원",m
4,명동(회현역) MUST STAY(머스트스테이),4.0,회현역 4번출구 도보 3분-3km,"25,000원",m
5,서울역 RANG(랑),4.7,2.2km,"40,000원",m
6,용산 엘르인호텔,4.8,남영역 1번출구 도보5분이내-3.3km,"60,000원",m
7,이태원 에이원,4.6,5.1km,"60,000원",m
8,용산 뉴월드 호텔,4.4,남영동 우체국 인근-3.2km,"50,000원",m
9,용산 가야라트리,4.6,숙대입구역 7번출구-3.3km,"60,000원",m
10,서울역 더 디자이너스,4.5,2.9km,"59,000원",m
11,용산 노블호텔,4.3,신용산역 5번 출구 30M-3.9km,예약마감,m
12,숙대 MU,4.5,숙대입구역7번출구 도보2분-3.2km,"37,000원",m
13,용산 온리포유,3.3,3.6km,"30,000원",m
14,명동 킹콩,3.5,3.2km,"50,000원",m
15,용산 MAC(맥),3.8,신용산역 1번출구 도보 2분-4km,예약마감,m
16,회현 TOP-탑 호텔,4.3,회현역 1번 출구 도보1분-3.2km,"26,000원",m
17,용산 평안모텔,4.2,1호선용산역3출구도보7분거리-3.1km,"40,000원",m
18,서울역 동산,5.0,2.7km,"100,000원",m
19,서울역 금강모텔,4.8,2.2km,"40,000원",m
20,용산 러브모텔,4.1,숙대입구 4번출구 100m 이내-3.1km,"30,000원",m
21,용산(보광) 삼성모텔,4.4,보광동 주민센터 3분거리-6.4km,"35,000원",m
22,서울역 계림,3.5,서울역 15번출구 도보 4분-2.1km,"45,000원",m
23,종로(광화문) 뉴서울 호텔,4.0,3.1km,"55,000원",m
24,서울역 WO,4.2,서울역 15번 출구 도보9분-2.6km,"40,000원",m
25,이태원 WO,3.9,5.5km,"40,000원",m
26,숙대 COZY(코지),4.6,3.1km,"50,000원",m
27,용산 샾 호텔,4.4,용산역 3번출구 방향-3.3km,"45,000원",m
28,명동 빨간판다호텔,4.6,3km,예약마감,m
29,충정로 wo,4.4,2.1km,"35,000원",m
30,용산역 스카이호텔,4.5,4.3km,"45,000원",m
31,명동 알프스,3.5,시청역 7번출구 도보 3분-3km,"42,000원",m
32,용산역 WO,4.5,4.3km,"40,000원",m
33,남산 힐호텔,3.0,3.4km,예약마감,m
34,중구 호텔 대우인,3.5,3km,예약마감,m
35,명동 칼리스타,4.3,3.6km,예약마감,m
36,중구 레몬게스트하우스,3.0,4.1km,예약마감,m
37,중구 24게스트하우스 서울시청점,3.2,2.9km,"21,000원",m
38,명동 대영호텔,4.8,3.2km,"40,000원",m
39,서울역 호텔 스테이인,4.7,2.8km,"39,900원",m
40,명동 호텔미도,1.0,"회현역 1분, 명동과는 5분 거리! -3.2km","40,000원",m
41,명동 꼬모,4.2,명동 중심가까지 도보로 3분 이내!-3.8km,"19,900원",m
42,남대문 호텔 아이린 시티,4.0,3km,"35,000원",m
43,명동 메이원 호텔,3.5,3.7km,"40,000원",m
44,명동 피넛,4.3,시청역 7번 / 8번 출구-3km,"40,000원",m
45,명동 파크힐 호텔,3.5, 지하철 4호선 회현역 1번 출구에서 도보 4분 거리에 위치!-3.4km,예약마감,m
46,이태원 성지,4.2,4.8km,"38,000원",m
47,명동 토모레지던스,3.5,3.9km,"66,000원",m
48,라마다 호텔앤스위트 서울 남대문,4.5,시청역 9번출구 도보 7분-2.5km,"54,900원",h
49,코리아나 호텔,4.7,시청역 3번출구 260m-3km,"60,000원",h
50,레스케이프 호텔,4.8,회현역 차량 약 2분-3.1km,"176,000원",h
51,롯데 호텔 서울,4.9,을지로입구역 7번출구 도보 3분-3.3km,"254,900원",h
52,이비스 앰배서더 명동,4.6,을지로입구역 6번출구 도보3분-3.5km,"55,000원",h
53,L7 명동 바이 롯데,4.8,명동역 9번출구 도보 2분-3.8km,"79,000원",h
54,이비스 스타일 앰배서더 서울 명동,4.4,명동역 10번출구 도보 5분-4km,"50,000원",h
55,ENA 스위트 호텔 남대문,4.8,시청역 9번 출구 도보 2분-2.7km,"55,000원",h
56,포포인츠 바이 쉐라톤 서울역,4.7,서울역 12번출구 도보 3분-2.8km,"60,000원",h
57,호텔 그레이스리 서울,4.8,시청역 8번출구 도보 5분-2.9km,"56,000원",h
58,서울 렉스 관광호텔,3.3,회현역 1번출구 100m-3.3km,예약마감,h
59,알로프트 서울 명동,4.8,"명동역,을지로입구역 도보 5분-3.4km","55,000원",h
60,세종 호텔,4.9,명동역 10번출구 바로 앞-3.9km,"60,000원",h
61,롯데시티호텔 명동,4.7,을지로 3가역 1번출구 도보 3분-4km,"74,840원",h
62,트레블로지 명동 을지로 호텔,4.4,을지로3가역 1번출구 도보 1분-4.1km,"45,900원",h
63,호텔 미드시티 명동,4.8,"시청역,을지로입구역 도보 5분-3.4km","50,000원",h
64,솔라리아 니시테츠 명동,4.8,명동역 8번출구 도보 2분-3.6km,"47,000원",h
65,이코노미호텔 명동 프리미어점,3.3,명동역 6번출구 도보 1분-3.6km,"36,000원",h
66,라인 호텔 명동,4.2,을지로입구역 5번출구 도보 1분-3.6km,"39,000원",h
67,이태원 크라운 호텔,4.2,녹사평역 3번출구 571m-5.2km,"47,060원",h
68,케이팝 호텔 서울역,4.3,서울역 10번출구 30m-2.8km,예약마감,h
69,남산 힐 호텔,4.3,회현역 1번출구 도보 5분-3.4km,"45,000원",h
70,크라운파크호텔 서울,5.0,을지로입구역 7번출구 도보 5분-2.9km,"68,200원",h
71,호텔 스카이파크 명동 1호점,4.6,명동역 6번출구 도보 2분-3.6km,"44,300원",h
72,노보텔 앰배서더 서울 용산,4.7,용산역 3번출구 도보 3분-3.7km,"118,800원",h
73,롯데호텔 서울 이그제큐티브 타워,4.9,을지로입구역 7번출구 도보 3분-3.4km,"363,000원",h
74,노보텔 스위트 앰배서더 서울 용산,4.9,용산역 3번출구 도보 3분-3.7km,"178,200원",h
75,그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산,4.9,용산역 3번출구 도보 3분-3.7km,"202,950원",h
76,더 플라자 호텔,4.7,시청역 도보 1분-3.1km,"179,000원",h
77,그랜드 하얏트 서울,4.7,이태원역 도보 15분-5.3km,"217,800원",h
78,서울 웨스틴조선호텔,4.8,을지로입구역 6번출구 도보 5분-3.2km,"242,000원",h
79,이비스 스타일 앰배서더 서울 용산,4.6,용산역 3번출구 도보 3분-3.7km,"118,800원",h
80,밀레니엄 힐튼 서울,4.5,서울역 도보 6분-2.8km,"211,750원",h
81,나인트리 호텔 명동,4.7,명동역 8번출구 70m-3.7km,"38,000원",h
82,피넛호텔,3.5,시청역 7번출구 도보 5분-3km,예약마감,h
83,몬드리안 서울 이태원(Mondrian Seoul Itaewon),4.7,이태원역 차량 3분-5.6km,"149,600원",h
84,소테츠 프레사인 서울 명동,3.5,명동역 8번출구 도보 5분-3.6km,예약마감,h
85,퍼스트스테이호텔 이글,4.8,시청역 8번출구 도보 3분-2.9km,"49,000원",h
86,코트야드 메리어트 서울 남대문,4.7,시청역 도보 10분-2.9km,"106,590원",h
87,호텔 토마스 명동,4.5,시청역 7번출구 도보 3분-3.1km,"49,900원",h
88,용산 레인보우 호텔,3.0,남영역 1번출구 도보 3분-3.3km,"60,000원",h
89,가야 라트리 호텔,4.4,남영역 1번 출구 도보 4분-3.3km,"60,000원",h
90,호텔 아이린 시티,4.6,시청역 7번출구 도보 5분-3km,"35,000원",h
91,Must Stay 호텔 명동,3.5,회현역  4번출구 도보 2분-3km,"35,280원",h
92,호텔 릿,3.5,서울역 10분출구 도보 1분-2.7km,"39,900원",h
93,호텔 더 디자이너스 서울역,4.5,숙대입구역 10번출구 바로 앞-2.9km,"59,000원",h
94,메트로 호텔,4.6,을지로입구역 6번출구 도보 2분-3.6km,"57,000원",h
95,로얄 호텔 서울,4.8,을지로입구역 5번출구 도보 6분-3.7km,예약마감,h
96,호텔 스카이파크 명동 3호점,4.7,명동역 9번출구 바로 앞-3.8km,"44,300원",h
97,명동 티마크 그랜드 호텔,4.7,"회현역 2,3번출구 도보 2분-3.1km","69,800원",h
98,호텔 8 Hours,4.6,시청역 7번출구 도보 5분-3km,예약마감,h
99,명동 크레토 호텔,4.6,명동역 10번출구 도보 2분-3.9km,예약마감,h
100,호텔 미도 명동,3.0,회현역 1번출구 50m-3.3km,"35,000원",h
101,호텔 루미아 명동,3.5,회현역 1번출구 200m-3.2km,예약마감,h
102,뉴서울 호텔,4.2,시청역 4번출구 230m-3.1km,"55,000원",h
103,명동 더스테이 호텔,4.3,명동역 9번출구 도보 1분-3.8km,예약마감,h
104,호텔 스테이 인,4.4,서울역 12번 출구 도보 2분-2.8km,"39,900원",h
105,임피리얼 팰리스 부티크 호텔,4.6,이태원역 3번출구 도보 5분-5.6km,"69,000원",h
106,케이팝 호텔 서울타워,4.2,회현역 4번출구 도보5분-3km,"23,000원",h
107,케이팝 레지던스 명동 1호점,3.5,명동역 8번출구 도보 5분-3.7km,예약마감,h
108,명동 퍼시픽 호텔,4.6,명동역 3번출구 50m-3.7km,"75,000원",h
109,프레이저 플레이스 센트럴,4.6,시청역 10번출구 도보 10분-2.3km,"134,200원",h
110,호텔 코지 명동,2.0,회현역 7번출구 도보 2분-3.1km,"39,900원",h
111,시티호텔 서울,1.5,회현역 1번출구 도보 2분-3.3km,예약마감,h
112,Small House Big Door,4.7,을지로입구역 2번출구 도보 5분-3.4km,"61,200원",h
113,프레지던트 호텔,4.6,을지로입구역 8번출구 200m-3.2km,"55,000원",h
114,뉴국제 호텔,4.5,시청역 4번출구 235m-3.1km,"50,000원",h
115,ITW 호텔,4.3,이태원역 3번출구 400m-5.5km,"55,000원",h
116,플로라 호텔 신신 서울 명동,4.5,시청역 7번출구 500m-3.1km,예약마감,h
117,해밀톤 호텔,4.5,이태원역 1번출구 바로 앞-5.3km,"79,000원",h
118,브라운 스위트 레지던스,4.5,충정로역 4번출구 도보 4분-2.1km,예약마감,h
119,용산 엘르인 호텔,4.5,남영역 1번출구 도보 3분-3.3km,"60,000원",h
120,프린스 호텔 명동,4.0,명동역 2번출구 50m-3.7km,"57,000원",h
121,호텔 마누,4.7,서울역 7번출구 130m-2.8km,"62,000원",h
122,K 스테이 게스트하우스 명동 1호점,5.0,명동성당 인근 위치-3.9km,예약마감,g
123,57명동 호스텔,4.6,3.5km,"33,500원",g
124,필스테이 이태원점,4.8,이태원역 1번출구 도보5분-5.1km,"20,000원",g
125,남산 포레스트 게스트하우스,3.0,명동역 인근-3.5km,"37,000원",g
126,명동 더큐브 호텔형 게스트하우스,4.8,명동역-3.7km,"22,000원",g
127,이태원 서울큐브 게스트하우스,4.8,5.5km,"22,000원",g
128,서울역 아로하 게스트하우스,4.8,서울역 12번 출구-2.9km,"20,000원",g
129,명동 루프탑 호스텔,5.0,3.8km,"30,000원",g
130,서울 스텝인 명동,4.8,명동성당 맞은편 로얄호텔 옆 -3.7km,"12,000원",g
131,24게스트하우스 서울시청점,3.2,1호선 시청역 1번출구 도보5분-2.9km,"21,000원",g
132,이태원 G게스트하우스,4.2,이태원역 도보 2분-5.4km,"10,900원",g
133,이태원 큐브 게스트하우스,5.0,이태원역 1번출구-5.1km,"12,000원",g
134,K 게스트하우스 남대문,4.6,시청역 7번 출구 -3km,"32,000원",g
135,명동 칼리스타 호텔형 게스트하우스,4.7,을지로입구역 5번 출구-3.6km,예약마감,g
136,이태원 아마존 게스트하우스,5.0,5.3km,"12,000원",g
137,이태원 모스크 게스트하우스,5.0,이태원 3번출구 -5.5km,"40,000원",g
138,서울 돈키호테 게스트하우스,3.5,용산가족공원 인근-6.1km,"35,000원",g
139,서울 드림 게스트하우스,3.5,"숭례문, 남대문시장, 명동번화가 인근-3.1km","24,000원",g
140,이태원 어뮤즈 게스트하우스,4.3,이태원역 인근-5.6km,"12,000원",g
141,이태원 엠버시 게스트하우스,3.5,순천향대학병원 도보 1분거리-6.2km,"35,000원",g
142,케이팝 게스트하우스 서울역점,3.5,서울역 10번출구 도보 3분-2.8km,예약마감,g
143,이태원 요트 게스트하우스,3.5,이태원역 1번출구 도보 8분-5.1km,"35,000원",g
144,서울 윤 게스트하우스,3.5,명동역 4번출구 근처-3.6km,"50,000원",g
145,24게스트하우스 서울역점,4.3,서울역 12번 출구-2.8km,"27,000원",g
146,K 게스트하우스 명동 2호점,3.5,"4호선 명동역까지 300m, 도보 2분-3.8km",예약마감,g
147,서울 마중 게스트하우스,3.5,2.9km,"30,000원",g
148,서울 코스테이 호스텔 서울역점 (숙대),4.8,3km,"20,000원",g
149,서울 뉴썬 게스트하우스,3.5,명동인근 위치-3.3km,예약마감,g
150,서울 남산길 하우스,3.5,3.6km,예약마감,g
151,용산 하우재 게스트하우스,2.7,삼각지역 1번 / 전쟁기념관 정문 바로 앞-3.9km,"10,000원",g
152,24게스트하우스 명동타운점,3.5,3.1km,예약마감,g
153,명동 영 레지던스,3.5,3.9km,예약마감,g
154,24게스트하우스 명동시티점,3.5,4km,예약마감,g
155,이태원 개수작 게스트하우스,5.0,이태원 인근-6km,예약마감,g
156,댓하우스 이태원 게스트하우스,5.0,이태원역 인근-5.2km,"12,000원",g
157,명동 제이가든 게스트하우스,3.5,명동-3.8km,예약마감,g
158,서울 포토박 게스트하우스,3.5,3.8km,예약마감,g
159,서울 스타 게스트하우스,3.5,"숭례문, 명동쇼핑타운, 숭례문, 서울광장 5분 거리-3km","36,000원",g
160,필스테이 명동메트로점,3.5,명동역-3.7km,"90,000원",g
161,서울 명동 게스트하우스 꼬모,3.5,명동역 1번출구-3.8km,"70,000원",g
162,명동 아트레블 호스텔,3.5,명동역 6번출구-3.6km,예약마감,g
163,숙대 더블랙웨일 게스트하우스,3.5,숙대입구역-3.1km,예약마감,g
164,서울 베스트스테이 게스트하우스,3.5,해방촌-4.3km,예약마감,g
165,서울 명동 게스트하우스,3.5,"명동역 1번,2번 출구-3.8km","500,000원",g
166,서울 원미닛 게스트하우스,4.0,2.8km,"24,000원",g
167,서울역 MK 리버티게스트하우스,3.5,2.3km,"45,000원",g
168,이태원 푸통 게스트하우스,4.8,한남역 1번출구-6.6km,"22,900원",g
169,명동 탕파스 호스텔,3.5,"을지로 3가역 1번 출구, 명동역 10번 출구 -4.1km","50,000원",g
170,서울 옥상달빛 게스트하우스,3.5,효창공원역 1번 출구-2.5km,예약마감,g
171,이태원 제이제이 게스트하우스,3.5,필리핀 대사관-4.9km,"120,000원",g
172,서울 스프링라이트 게스트하우스,3.5,4호선 숙대입구역 6번 출구-3.3km,예약마감,g
173,명동 킹콩 게스트하우스,3.5,회현역 1번 출구-3.2km,"40,000원",g
174,명동 블루마운틴 게스트하우스,3.5,3.7km,"55,000원",g
175,용산 파티룸 힐링룸 게스트하우스,5.0,이촌역 5번 출구-4.6km,예약마감,g
176,명동 에어 호스텔,5.0,명동역 -3.7km,"30,000원",g
