,name,score,loc,lowest_price,category
0,신천 아이,4.7,종합운동장 9번출구 도보3분-13.3km,"38,000원",m
1,신천 A+ 무인호텔,4.3,종합운동장역 9번출구 도보2분-13.3km,"42,000원",m
2,"신천(잠실새내) FORESTAR 1,2호점 (포레스타 2)",4.4,잠실새내(신천) 역 인근-13.3km,"50,000원",m
3,"신천(잠실새내) FORESTAR 1,2호점 (포레스타 1)",4.4,잠실새내(신천) 역 인근-13.4km,"50,000원",m
4,신천(잠실새내) 호텔 더 캐슬,4.7,신천 먹자골목 인근-13.4km,"55,000원",m
5,신천 퍼니,4.6,잠실새내역 4번출구 도보3분-13.4km,"35,000원",m
6,신천 식스티,4.5,잠실새내(신천)역 4번출구 도보 5분-13.4km,"35,000원",m
7,신천 테레즈 호텔,4.6,잠실새내(신천)역 4번출구 도보 5분-13.4km,"35,000원",m
8,신천 로즈마리,4.5,잠실새내(신천)역 4번출구 도보 3분-13.6km,"35,000원",m
9,신천 마쯔&2060,4.4,잠실새내 신천역 도보3분 잠실동183-6-13.6km,"35,000원",m
10,잠실 트라움,4.6,"몽촌토성역 3번 출구,잠실역 10번 출구-15.4km","40,000원",m
11,잠실(방이) 호텔 더 캐슬,4.8,방이동 먹자골목 인근-15.4km,"50,000원",m
12,잠실 넘버25 방이점,4.8,"방이동먹자골목,석촌호수,잠실역10번 출구-15.4km","40,000원",m
13,잠실 어반,4.8,몽촌토성역 3번 출구-15.5km,"40,000원",m
14,잠실 월(月),4.5,방이동 먹자골목-15.5km,"35,000원",m
15,잠실 하오,3.9,롯데월드 인근-15.5km,"32,000원",m
16,잠실(가락동) XYM,4.6,가락시장 먹자골목인근-17.2km,"70,000원",m
17,신천 라비앙호텔,4.6,잠실 잠실새내(신천)역 4번출구 도보 5분-13.4km,"45,000원",m
18,신천 플러스,4.5,잠실새내(신천)역 4번 출구 도보 5분-13.6km,"35,000원",m
19,신천 히트,4.6,종합운동장 9번출구 도보3분-13.2km,"35,000원",m
20,잠실 호스텔베네,4.0,방이동먹자골목 중심-15.5km,"40,000원",m
21,잠실 라자,4.4,방이동 먹자골목 인근-15.4km,"40,000원",m
22,신천 상주 호텔,4.6,종합운동장 9번출구 도보3분-13.3km,"50,000원",m
23,잠실 줌,4.4,석촌호 사거리 인근-14.8km,"50,000원",m
24,잠실 까사,4.6,방이동 숙박촌 위치-15.6km,"38,000원",m
25,잠실 쿠키,4.5,방이동 먹자골목 위치-15.4km,"35,000원",m
26,잠실 톰지,4.5,방이동 먹자골목 위치-15.5km,"35,000원",m
27,잠실 IM 호텔,4.6,몽촌토성역 3번 출구 인근-15.5km,"35,000원",m
28,잠실 와우,4.7,"잠실역 2호선, 8호선 10번출구 도보4분-15.3km","55,000원",m
29,잠실 자자호텔,4.4,몽촌토성역 3번출구 인근 위-15.7km,"35,000원",m
30,잠실 셀레네,4.5,"몽촌토성역 3번 출구 도보10분, 잠실역 10번 출구 도보10분-15.4km","35,000원",m
31,잠실 BNW,4.7,몽촌토성역 3번 출구-15.5km,"40,000원",m
32,잠실 첼로,4.7,방이동 먹자골목 위치-15.5km,"45,000원",m
33,신천 라몬,4.6,잠실새내(신천)역 4번출구 도보 3분-13.5km,"35,000원",m
34,잠실 HL HOTEL,4.5,방이동 먹자골목 위치-15.5km,"40,000원",m
35,신천 HOTEL 봄,4.7,9호선 종합운동장역 9번출구 도보 3분-13.2km,"40,000원",m
36,잠실 호텔 이쁘다 잠실,4.7,15.4km,"35,000원",m
37,잠실 딜라이트,4.6,방이동먹자골목 위치-15.5km,"60,000원",m
38,잠실 체리,4.7,방이동 먹자골목 인근 위치-15.4km,"35,000원",m
39,잠실 머니,4.6,몽촌토성역 3번 출구 인근-15.6km,"35,000원",m
40,신천 MW,4.2,잠실새내(신천)역 4번출구 도보3분-13.5km,"35,000원",m
41,잠실 IMT,4.6,방이동 숙박촌 입구-15.5km,"40,000원",m
42,신천 칸,4.6,종합운동장 야구장 인접-13.2km,"35,000원",m
43,신천 하루,4.5,2호선 잠실새내역 3번출구 도보 4분 거리에 있습니다.-13.5km,"35,000원",m
44,잠실 타임,4.3,방이동 먹자골목 인근 위치-15.4km,"33,000원",m
45,잠실 동그라미,4.6,올림픽공원 인근-15.7km,"45,000원",m
46,잠실 로즈,4.3,방이동 메인 먹자골목 위치-15.4km,"40,000원",m
47,잠실 코너호텔,4.4,송파사거리 인근-16km,"65,000원",m
48,신천 윈(WYNN),4.6,"잠실새내(신천)역 3,4번출구 인근-13.5km","40,000원",m
49,신천 폼(FORM),4.5,종합운동장 9번출구 도보3분-13.2km,"50,000원",m
50,잠실 올리브,3.9,방이동 숙박촌 내 위치-15.8km,"40,000원",m
51,잠실 에덴,4.2,15.8km,"35,000원",m
52,송파(삼전동) 휴,4.3,14.7km,예약마감,m
53,신천(잠실새내) 호텔 더 캐슬,4.6,종합운동장역 9번출구 도보 5분-13.4km,"70,000원",h
54,잠실(방이)호텔 더 캐슬,4.7,잠실역 도보 6분-15.4km,예약마감,h
55,로사나 부티크 호텔,4.6,잠실역 3번출구 500m-14.9km,"71,500원",h
56,잠실 딜라이트호텔,4.6,2호선 잠실역 10번 출구 도보 10분-15.5km,"65,000원",h
57,파크 하비오 호텔,4.7,장지역 4번출구 도보 5분-18.1km,"105,280원",h
58,잠실2.4호텔,4.5,몽촌토성역 2번출구 도보 3분-15.8km,"50,000원",h
59,롯데 호텔 월드,4.6,잠실역 3번출구 도보 1분-14.7km,"231,730원",h
60,신천 상주 호텔,4.6,종합운동장역 9번출구 도보 5분-13.3km,"50,000원",h
61,가락관광호텔,3.8,가락시장역 3번출구 도보 2분-17.1km,"93,000원",h
62,호스텔베네 롯데타워점,4.1,잠실역 1번출구 도보 10분-15.5km,예약마감,h
63,잠실 코너호텔,4.3,"석촌역,송파역 도보 5분-16km","68,000원",h
64,잠실 톰지 호텔,4.8,잠실역 10번출구 500m-15.5km,"35,000원",h
65,호텔 인피니,4.4,석촌호수 590m-14.9km,"59,800원",h
66,잠실 라몬호텔,4.8,잠실새내역 4번출구 도보 5분-13.5km,"40,000원",h
67,잠실 포레스타 2 호텔,4.2,잠실새내역 4번출구 도보 5분-13.3km,"50,000원",h
68,잠실 포레스타 호텔,4.2,잠실새내역 4번출구 도보 5분-13.4km,"50,000원",h
69,신천 호텔 봄(구. 다비드 호텔),4.2,종합운동장역 9번출구 도보 3분-13.2km,"40,000원",h
70,레이크 호텔,4.4,잠실역 3번 출구 400m-15.1km,"79,550원",h
71,파로스 호텔,4.6,신천역 4번출구 400m-13.3km,"40,000원",h
72,24게스트하우스 잠실점,3.0,삼전동 주민센터에서 도보 10분 거리-14.3km,"55,000원",g
73,호스텔 베네 롯데타워점,4.6,몽촌토성역-15.5km,"55,000원",g
