,name,score,loc,lowest_price,category
0,답십리 밀,4.7,신답역 1번출구 도보 10분-9.2km,"33,300원",m
1,답십리 칸 - Stay Gallery,4.4,신답역 1번출구 도보5분-9.4km,"33,000원",m
2,답십리 그림,4.8,9.4km,"30,000원",m
3,답십리 삼호파크,4.7,9.8km,"38,000원",m
4,답십리 부티크 호텔 K,4.6,10.1km,"34,000원",m
5,장안 새턴,4.7,10.3km,"50,000원",m
6,장안 르네상스,4.7,장한평역 4번출구 도보10분-11.1km,"35,000원",m
7,장안 시그니처,4.7,11.2km,"45,000원",m
8,장안 A366,4.7,11.3km,"40,000원",m
9,답십리 SM 부티크호텔,4.4,9.7km,"40,000원",m
10,장안 길벗호텔,4.5,동대문 바우하우스 인근 위치-11.3km,"40,000원",m
11,장안 로얄,4.9,11.1km,예약마감,m
12,장안 하얀,4.7,10.8km,"33,000원",m
13,장안 Nine9호텔,4.8,11.3km,"45,000원",m
14,답십리 쌍마,4.3,답십리역 5번출구 인근-9.9km,"27,000원",m
15,장안 행복한눈물,4.7,11.1km,"35,000원",m
16,장안 이지호텔,4.3,11.3km,"40,000원",m
17,장안 HOTEL 27,4.2,장한평역 8번출구 도보 5분-10.3km,"40,000원",m
18,장안 JW,4.7,장한평역 2번출구 도보10분-10.8km,"40,000원",m
19,장안 신원모텔,3.5,10.8km,"30,000원",m
20,답십리 어반스테이103,5.0,10.1km,"38,000원",m
21,부티크 호텔k 동대문점,4.3,답십리역 4번출구 도보 7분-10.1km,"45,000원",h
22,더 리센츠 동대문 호텔,4.6,장한평역 1번출구 도보 3분-10.4km,"46,500원",h
23,답십리역 호텔 이노스테이,4.6,답십리역 5번출구 도보 1분-9.7km,예약마감,h
24,보르조미 부티크 서울,4.3,장한평역 2번출구 800m-10.9km,"60,000원",h
