,name,score,loc,lowest_price,category
0,종로(종각) MG HOTEL,4.6,종각역 4번 출구 3분거리-3.7km,"40,000원",m
1,종로 몽,4.6,청계2가 사거리 인근-4km,"35,000원",m
2,종로 H HOTEL,4.1,4km,"35,000원",m
3,종로 더 디자이너스,4.4,종로3가역15번출구 도보5분-4.1km,"40,000원",m
4,종로 HERTZ(헤르츠),4.6,종로3가역 5번출구 도보1분-4.2km,"50,000원",m
5,종로 HOTEL RAWA(호텔 라와),4.8,종로3가역 5번출구 도보1분이내-4.2km,"35,000원",m
6,종로 누누,4.1,탑골공원 인근 위치-4.2km,"30,000원",m
7,종로 IMT,4.5,서울극장 인근 위치-4.2km,"35,000원",m
8,종로 컬리넌,4.6,탑골공원 인근 위치-4.2km,"36,000원",m
9,종로 YAJA 종로점,4.7,"종로3가역(5호선) 4,5번출구 도보2분-4.2km","40,000원",m
10,종로 HOTEL LABOUM(호텔 라붐),4.8,종로3가역 5번출구 도보3분이내-4.2km,"35,000원",m
11,종로 헬로인,4.5,종로3가역 5번출구 도보3분-4.2km,"30,000원",m
12,종로 Hotel Avenue 162,4.5,4.2km,"30,000원",m
13,종로 더 포스트 호텔,4.6,종로 3가역 15번 출구 도보 5분-4.2km,"40,000원",m
14,종로 호텔팝,4.6,탑골공원 인근-4.3km,"35,000원",m
15, 종로(3가) 호텔 K WORLD,4.7,종로3가역 15번출구 도보1분이내-4.3km,"40,000원",m
16,종로 M&LUCKY HOTEL,4.8,종로3가역 2-1번출구CGV옆도보1분거리-4.3km,"40,000원",m
17,종로 아비숑,4.7,"안국역 4번출구, 종로3가역 도보5분-4.4km","35,000원",m
18,종로 씨티파크,4.6,"창덕궁, 안국역/종로3가역 도보5분-4.4km","35,000원",m
19,종로(동묘앞역) HOTEL DM,4.9,동묘앞역 3번출구 도보1분거리-6.8km,"40,000원",m
20,종로 THE MAY HOTEL,4.8,종로3가역 5번출구 도보1분거리-4.2km,"45,000원",m
21,종로 Olive HOTEL,4.6,동묘앞역 3번출구 도보 5분-6.9km,"50,000원",m
22,종로 HOTEL STAR,4.4,탑골공원 인근 위치-4.3km,"40,000원",m
23,종로 센트럴관광호텔,3.8,"종로3가역 13,14번출구 도보5분이내-4.4km","32,000원",m
24,종로 NOVA,4.4,종로3가역 5번출구 도보2분-4.2km,"30,000원",m
25,종로 와,4.3,종로5가역 4번출구 동대문역 10번출구 도보5분-5.5km,"27,000원",m
26,종로 비즈호텔,4.3,종로3가역 도보3분-4.2km,"35,000원",m
27,동대문(동묘앞역) 바티카,4.2,동묘앞역 6번출구 도보3분-6.4km,"45,000원",m
28,종로 T,4.6,4.3km,"25,000원",m
29,종로 HOTEL 월하여관,4.5,"안국역, 종로3가역 도보5분-4.5km","25,000원",m
30,종로 2heaven,4.4,종로3가역 5번출구 도보5분-4.2km,"30,000원",m
31,종로 POP2,4.6,탑골공원 인근 위치-4.2km,"33,000원",m
32,종로 POP3,4.1,종로3가역 1번출구-4.2km,"32,000원",m
33,종로 스카이 호텔,4.6,종로2가 사거리 인근-4km,"35,000원",m
34,종로 시네마,4.7,4.2km,"40,000원",m
35,종로 호텔 앳 홈,4.4,서울 혜화경찰서 근처-5.1km,"35,000원",m
36,종로 브라운도트 종로점,4.7,종로3가역(5호선) 도보 3분-4.2km,"40,000원",m
37,종로(동대문) 서울N호텔,4.3,"동묘역, 신설동역 도보 5분거리-6.9km","30,500원",m
38,종로 다나호텔,4.8,종로3가역 15번출구 도보5분-4.2km,"40,000원",m
39,종로(5가) 호텔 K WORLD,4.7,종로5가역 4번출구 도보5분거리-5.5km,"40,000원",m
40,종로 HOTEL SULLA(순라),3.5,"종로3가역 7번출구 도보 5분, 안국역 4번출구 도보5분-4.5km","35,000원",m
41,종로(동묘앞역) HOTEL 동양장,4.9,동묘앞역 3번출 도보3분거리-6.7km,"35,000원",m
42,종로 인터넷,4.3,종로5가역 5번출구 도보5분-5.5km,"40,000원",m
43,종로 레몬트리,4.7,종로3가역 3번출구 앞-4.4km,"30,000원",m
44,종로 부티크 호텔 K,4.6,종로2가 사거리 인근-4km,"35,000원",m
45,종로 Z무인텔,4.1,4.3km,"50,000원",m
46,종로(대학로) 짝,3.6,대학로 4번 출구에서 3분 거리-5.6km,"30,000원",m
47,종로(대학로) 스위스,4.2,혜화역 2번 출구 도보6분-5.6km,"35,000원",m
48,종로 쿠즈,4.6,창덕궁 삼거리 도보 3분-4.4km,예약마감,m
49,경복궁 나그네 하우스 -부띠크 한옥,4.0,지하철 경복궁역 에서 도보 2분거리-3km,"60,000원",m
50,동대문(동묘역앞) 그린파크,4.3,동묘앞역 4번출구 도보2분-6.5km,"35,000원",m
51,종로(경복궁) U.N.P,4.3,3호선 경복궁역 1번 출구-2.5km,"45,000원",m
52,종로 동신모텔,5.0,4km,예약마감,m
53,종로 피터캣호텔,4.6,4.3km,"30,000원",m
54,종로(대학로) 쉘라근,1.0,5.4km,"40,000원",m
55,종로 호텔팩토리,4.5,종로3가역 5번출구 50M-4.1km,"40,000원",m
56,종로 앨리스,2.6,4.3km,예약마감,m
57,종로(3가) 피카소,4.1,4.2km,"45,000원",m
58,종로 아미가,3.5,5.1km,"30,000원",m
59,종로 아이콘,3.3,4.3km,"30,000원",m
60,종로(동대문) 시티데이즈 인 호텔,4.5,6.1km,"27,000원",m
61,종로(동대문) 오마이호텔,3.5,동대문역 4번출구 도보3분이내-6.3km,"27,000원",m
62,종로(인사동) 미니호텔,3.5,4km,예약마감,m
63,종로 셀프텔 토미,4.9,종로3가 7번출구 도보 3분-4.4km,"15,000원",m
64,종로 호텔 가온 골든파크,4.1,6.3km,예약마감,m
65,종로 슬로우스테이DA,4.9,5.2km,예약마감,m
66,종로 FA 미니호텔,3.5,6.2km,예약마감,m
67,종로 다다호텔,3.5,4.3km,"60,000원",m
68,동대문 호텔큐비 갤러리,4.4,6.3km,"28,000원",m
69,이비스 앰배서더 인사동,4.6,종로3가역 4번출구 도보 5분-4.3km,"58,910원",h
70,신라스테이 광화문,4.5,광화문역 2번 출구 447m-3.5km,"49,280원",h
