,name,score,loc,lowest_price,category
0,천호 라뷰 럭셔리호텔,4.4,천호역 3번출구 인근-16.1km,"41,000원",m
1,천호 이너스,4.7,"천호역 3번 , 4번 ,5번 출구 도보1분-16.2km","43,000원",m
2,천호 월(月),4.5,천호역 3번5번출구 인접-16.2km,"40,000원",m
3,천호 HOTEL H,4.8,천호역 3번 출구에서 400m 이내-16.3km,"50,000원",m
4,천호 호텔8월,4.5,16.3km,"48,000원",m
5,천호 YAJA 천호역점,4.7,천호역5번출구 도보4분 로데오거리에 위치-16.3km,"40,000원",m
6,천호 아리아호텔,4.7,강동미즈여성병원 인근-16.5km,"55,000원",m
7,천호 HOTEL 감,4.7,천호역 로데오거리 안쪽-16.5km,"50,000원",m
8,"길동 IMT 1,2",4.5,길동역 1번 출구 도보5분-17.4km,"35,000원",m
9,천호 바고호텔,4.6,천호공원 도보 약 2분-16.1km,"49,000원",m
10,길동 Remi,4.9,길동 먹자골목 위치-17.2km,"40,000원",m
11,천호 ORANGE,4.7,16.1km,"33,000원",m
12,길동 윈,4.8,길동 메인 먹자골목-17.3km,"40,000원",m
13,길동 일루와,4.6,17.4km,"35,000원",m
14,길동 샘(SAM),4.8,길동역 2번출구 도보5분-17.7km,"40,000원",m
15,길동 아르고,4.6,5호선 강동역 2번출구 방향-17.3km,"35,000원",m
16,강동 월 부띠끄호텔,4.7,강동역 3번출구 인근-17km,"50,000원",m
17,천호 호텔 더 블루,4.8,천호역 3번출구 인근 위치-16.2km,"45,000원",m
18,천호 플러스,4.8,천호역 도보 약 4분-16.1km,"45,000원",m
19,길동 오라,3.5,17.4km,예약마감,m
20,천호 히트,4.6,"천호역 3,5번 출구 도보 5분거리-16.2km","35,000원",m
21,길동 러브이즈,4.7,성심어린이공원 인근-17.3km,"35,000원",m
22,천호 연,4.7,천호역 5번출구 도보 5분-16.3km,"35,000원",m
23,천호 온,4.5,천호공원 인근 위치-15.8km,"33,000원",m
24,둔촌 발리 호텔,4.6,둔촌동역 4번 출구 도보2분-17.2km,"44,000원",m
25,천호 M,4.5,천호3동주민센터 인근-16.6km,"35,000원",m
26,천호 프라자,4.7,천호역 5번출구 도보 10분-16.5km,"30,000원",m
27,천호 연애시대,4.5,천호동 로데오거리 인근 위치-16.6km,"25,000원",m
28,둔촌 S,4.3,신성 아파트 사거리 근처-18km,"45,000원",m
29,길동 초콜릿,4.0,5호선 길동역 1번 출구 -17.3km,"40,000원",m
30,길동 길동모텔,4.8,17.3km,"35,000원",m
31,천호 세븐,4.6,천호역 3번출구 도보 3분-16.1km,"35,000원",m
32,길동 오리엔트,4.8,길동역 1번출구 인근 위치-17.4km,"40,000원",m
33,길동 TOP,4.7,강동역 2번출구 인근 위치-17.2km,"33,000원",m
34,길동 썸,4.6,17.3km,"35,000원",m
35,천호 호텔 6월,4.5,16.2km,"35,000원",m
36,천호 펠리스,4.5,천호역(5호선) 5번 출구 -16.3km,"35,000원",m
37,천호 T,4.4,천호역 5번출구 도보 5분 현장결제가-16.3km,예약마감,m
38,천호 호텔스토리,4.5,천호 공원사거리 인근-15.8km,"33,000원",m
39,천호 밀레오,4.5,16.2km,"30,000원",m
40,천호 YES,3.2,천호시장 사거리 인근 위치-16.6km,"30,000원",m
41,길동 보보스,4.5,17.4km,"50,000원",m
42,길동 배우,4.6,역 3분거리 강동 성심병원 뒤-17.2km,예약마감,m
43,길동 에스라인,4.4,17.4km,"33,000원",m
44,둔촌 비너스,3.5,17.9km,예약마감,m
45,호텔 더 블루 천호,4.0,천호역 3번출구 도보 3분-16.2km,"50,000원",h
46,바고 호텔,4.8,천호역 3번출구 556m-16.1km,"55,000원",h
47,천호 라뷰 호텔,1.0,천호역 3번 출구 도보 3분-16.2km,"70,000원",h
48,길동 아르고 호텔,4.8,강동역 2번출구 도보 10분-17.3km,"46,100원",h
49,하모니 호텔,4.7,길동역 1번출구 도보 2분-17.3km,"50,000원",h
