,name,score,loc,lowest_price,category
0,태릉 호텔 드씨엘(De Ciel),4.7,먹골역 4번출구 도보 3분-13km,"65,000원",m
1,창동 론스타,4.6,창동역 1번출구 도보 5분-14km,"45,000원",m
2,노원 딘(DEAN),4.7,강북 메가스터디 학원(노원점) 바로 뒤편에 있습니다. 노원 구청 옆 골목 도보 500M 내-14.5km,"45,000원",m
3,노원 노블레스 호텔,4.1,노원역 인근-14.6km,"36,000원",m
4,노원 호텔 리버,4.7,"노원역 7,8번출구 도보 1분 내외-14.5km","50,000원",m
5,창동 HOTEL 99 프레스티지,4.7,창동역 1번출구 도보 5분 내외-14km,"45,000원",m
6,노원 HOTEL 월(月),4.9,노원역 7번출구 도보 1분 내외-14.5km,"60,000원",m
7,노원 노원 모텔,4.5,노원역 도보 약 7분-14.5km,"35,000원",m
8,태릉 르블랑(LeBlanc) 호텔,4.4,태릉입구역 8번출구 인근-13.2km,"45,000원",m
9,도봉 더데이 호텔,4.5,16.5km,"50,000원",m
10,도봉 HOTEL BAY 204,4.8,방학역 1번출구 인근-14.8km,"70,000원",m
11,노원 브이,4.3,14.5km,"33,000원",m
12,노원 이프(IF),4.4,노원 더썸포차 도보3분거리 있습니다.-14.6km,"45,000원",m
13,태릉 S,4.2,태릉입구역 7번출구 도보3분-13.2km,"40,000원",m
14,노원 팰리스,4.3,14.5km,"40,000원",m
15,태릉 인(INN),4.2,태릉입구역 8번출구 도보 5-13.2km,"40,000원",m
16,창동 베르사유,4.7,창동역 1번출구 도보5분-14km,"40,000원",m
17,노원 세피아,4.6,14.5km,"40,000원",m
18,태릉 W,4.6,태릉입구역 6번출구 도보1분-13.4km,"50,000원",m
19,노원 모모 호텔,4.8,"노원 구청 인근, 숙박 골목 초입에 위치-14.5km","45,000원",m
20,노원 리츠,4.4,노원구청 인근 위치-14.5km,"60,000원",m
21,노원(수락산) 카누,4.4,16.3km,"40,000원",m
22,창동(쌍문동) M 모텔,4.2,13.7km,"35,000원",m
23,도봉(방학역) 럭스,4.6,맥도날드 방학역 DT점 바로 옆 위치-15.1km,"40,000원",m
24,태릉 힐파크,4.4,13km,"35,000원",m
25,창동(쌍문동) 테마,4.3,메가박스 도봉점 인근 도보 2분 거리.-13.4km,예약마감,m
26,태릉(공릉동) M,4.8,태릉 입구역에서 도보 2분!-13km,"50,000원",m
27,도봉 도봉산 모텔,4.7,16.1km,"42,000원",m
28,도봉(방학동) 세화,4.2,소망어린이공원 뒷편에 위치하고 있습니다.-14.1km,"28,000원",m
29,월계(석계역) 갤러리호텔,4.5,석계역 2번 출구 도보 1분-12.4km,"40,000원",m
30,도봉 M,3.8,15.3km,"35,000원",m
31,도봉(방학동) 사랑방,4.7,14.2km,"35,000원",m
32,창동(쌍문동) 안성 모텔,3.2,13.7km,"35,000원",m
33,노원(공릉동) QT,3.2,13.4km,"45,000원",m
34,노원 노블레스 관광호텔,4.1,노원역 8번출구 도보 3분-14.6km,"43,380원",h
35,노원 리츠호텔,4.4,노원역 약 3분거-14.5km,"60,000원",h
36,노원 럭스 호텔,4.9,노원역 도보 5분-14.5km,예약마감,h
37,도봉 호텔베이204,4.5,방학역(도봉구청) 도보 3분-14.8km,"70,000원",h
38,도봉 더데이 호텔,4.7,"도봉역,도봉산역 도보 7분-16.5km",예약마감,h
39,태릉 호텔 드씨엘,4.3,먹골역 4번출구 도보 3분-13km,"65,000원",h
