,name,score,loc,lowest_price,category
0,등촌 베니키아 서울호텔,4.5,증미역 4번 출구-7.3km,"31,000원",m
1,화곡 드림 호텔,4.4,"강서경찰서, 강서구청 로데오거리-8.1km","35,000원",m
2,화곡(강서구청) 샤르망,4.7,강서구청 도보 5분-8.4km,"30,000원",m
3,화곡 A HOTEL,4.7,강서구청 인근-8.5km,"40,000원",m
4,화곡 유니온,4.7,화곡역 3번출구 직진 42번길 골목-8.7km,"35,000원",m
5,화곡 초콜릿,4.6,화곡사거리 인근-9.2km,"45,000원",m
6,화곡 VOLL,4.6,"Premier (별관)평일 대실20,000원!! 이용5시간-9.2km","45,000원",m
7,화곡 S,4.7,까치산역 3번출구 도보7분-9.3km,"45,000원",m
8,HOTEL ANNE 화곡점 (호텔앤),4.5,9.6km,"35,000원",m
9,화곡 해담채,4.7,까치산역 3번 출구 도보10분-9.6km,"40,000원",m
10,화곡 앨리스 넥스트 도어,4.8,9.7km,"50,000원",m
11,강서(김포공항) TJ,4.6,김포공항 차량 7분-10.9km,"50,000원",m
12,김포공항 KOTEL,3.7,"9호선 공항시장역 1번출구 인접 , 김포공항 도보 10분-11.7km","32,900원",m
13,화곡 러브레터,4.8,강서구청 먹자골목 위치!-8.1km,"29,000원",m
14,화곡 딘(DEAN),4.5,강서구청 먹자골목 위치-8.1km,"35,000원",m
15,화곡 블루힐,4.5,화곡역 4번출구 도보 8분-8.5km,"28,000원",m
16,화곡 소설스미스,4.6,8.6km,"40,000원",m
17,화곡 설레임,4.5,화곡역3번출구 도보8분-8.6km,"28,000원",m
18,화곡 스타 호텔,4.8,화곡역 2번출구 도보20분-8.2km,"40,000원",m
19,화곡 CL HOTEL,4.6,"화곡1동 주민센터, 까치산역 3번출구-9.7km","45,000원",m
20,화곡 거기,4.8,까치산역 3번출구 도보6분-9.2km,"50,000원",m
21,화곡 칼튼호텔,4.8,강서구청 인근위치-8km,"40,000원",m
22,발산 골든호텔,4.5,발산역 인근 마곡신도시 소재-9.3km,"60,000원",m
23,화곡 미사,4.4,화곡1동 주민센터 인근-9.6km,"35,000원",m
24,염창 본,4.6,9호선 염창역 도보 5분-6.1km,"50,000원",m
