,name,score,loc,lowest_price,category
0,동대문 다락,4.6,7.2km,"42,000원",m
1,동대문 부티크나인 (HB9),4.5,신설동역 4번출구 도보 1분-7.5km,"70,000원",m
2,청량리 Boutique Hotel XYM,4.6,청량리역 3번 출구-9.3km,"40,000원",m
3,청량리 더 디자이너스,4.8,청량리역 광장에서 도보 1분-9.5km,"54,000원",m
4,청량리 31page,4.6,청량리역 4번출구 도보 8분-9.6km,"40,000원",m
5,경희대 수(SOO),4.6,회기역 1번출구 도보 5분-10.3km,"40,000원",m
6,외대 Life hotel Raha,4.6,11.4km,"38,000원",m
7,회기 YAJA 경희대점,4.5,회기역 1번 출구 도보 7분-10.3km,"40,000원",m
8,경희대 스카이,4.6,10.3km,"40,000원",m
9,고려대 YAJA 고려대점,4.5,고려대역 3번출구 도보10분-9.1km,"40,000원",m
10,회기 그림,4.4,중랑교 교차로 100M 이내-11.3km,"35,000원",m
11,동대문 오즈,4.2,8.7km,"25,000원",m
12,청량리 동부모텔,4.0,청량리역 2번출구 도보7분-9.2km,"30,000원",m
13,동대문 잠(고려대점),4.1,8.3km,"30,000원",m
14,회기 체스,3.5,회기역 1번출구 도보5분-10.6km,"35,000원",m
15,회기 발리,4.7,회기역 1번출구 도보 5분-10.3km,"40,000원",m
16,회기 체리,3.6,회기역 1번출구 도보 5분-10.3km,"38,000원",m
17,외대 이문,3.6,1호선 신이문역 1번 출구-11.7km,"33,000원",m
18,회기 E,3.1,회기역 1번출구 앞에 도보 1분-10.6km,"33,000원",m
19,회기 리오,4.0,10.6km,"33,000원",m
20,회기 청수,3.6,회기역 1번출구 도보3분-10.6km,"30,000원",m
21,회기 Q,4.0,회기역 1번출구 도보 5분-10.6km,"30,000원",m
22,회기 CMS INN SEOUL,3.5,10.5km,예약마감,m
23,회기 비너스,3.5,회기역 1번출구 도보 8분-10.5km,예약마감,m
24,회기 외대 모우(MOU),4.7,10.8km,"40,000원",m
25,동대문 로얄모텔,2.0,7.4km,"30,000원",m
26,Chason M (체이슨 엠),3.8,회기역 1번출구 도보 1분-10.5km,"50,000원",h
27,동대문 호텔 그림,4.0,회기역 약 15분-11.3km,"35,000원",h
28,부티크 호텔 수,4.5,회기역 1번출구 도보 4분-10.3km,"41,000원",h
29,블레싱 인 서울,4.5,회기역 1번출구 600m-10km,"35,000원",h
30,호텔 더 디자이너스 청량리,4.5,청량리역 4번출구 도보 5분-9.5km,"60,000원",h
31,호텔 부티크 9,4.6,신설동역 4번출구 도보 2분-7.5km,예약마감,h
