,name,score,loc,lowest_price,category,loc2
0,울산 진장동 히든베이,4.7,"울산 혁신도시 부근, 눌러서 위치보기-309.1km","50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
1,울산 정자동 브라운도트 정자해수욕장점,4.8,울산 정자해수욕장 10m-309.6km,"60,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
2,울산 일산 아이,4.0,"일산해수욕장까지 도보 3분, 클릭-319.4km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
3,울산 일산 컨시드,4.7,"일산해수욕장 도보5분, 눌러서 위치보기-320km","45,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
4,울산 영남알프스 인투(INTO),4.8,전기자동차충전소 2대 보유★-293.2km,"40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
5,울산 영남알프스 알프스온천,4.5,간월사에서 차량 3분거리-293.5km,"40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
6,울산 KTX역 더케이,4.7,"울산 KTX역 차량 3분, 클릭!-297.7km","50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
7,울산 진장동 보스턴,4.5,"진장디플렉스에서 도보 7분거리, 눌러서 위치보기-309.1km","50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
8,울산 일산 호텔 먹자 닷컴,4.8,일산해수욕장까지 도보 1분거리(클릭)-319.5km,"60,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
9,울산 일산 헤이(HEY) 호텔,4.7,"일산해수욕장 바로 앞, 눌러서 위치보기-319.6km","45,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
10,울산 일산 VIP 호텔,3.9,"일산해수욕장 도보 3분,눌러서 위치확인-319.7km","35,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
11,울산 일산 올레,4.6,"일산해수욕장 5분거리, 클릭-319.9km","50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
12,울산 영남알프스 라헬,4.6,"신불산온천 도보 5분, 눌러서 위치보기-293.5km","35,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
13,울산 영남알프스 럭셔리호텔,4.8,"간월사까지 차로 2분, 눌러서 위치보기-292.9km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
14,울산 일산 루이스호텔,4.7,"일산해수욕장에서 도보 2분거리, 눌러서 위치보기-319.6km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
15,울산 영남알프스 G7,4.7,"간월사에서 차량 1분거리, 눌러서 위치보기-292.8km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
16,울산 영남알프스 드메르 호텔,4.9,"간월산자연휴양림까지 차량 4분거리,클릭-293.3km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
17,울산 호계 더 베스트,4.7,"호계역 차량 4분거리, 눌러서 위치보기-303.5km","55,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
18,울산 일산 비즈,4.4,"일산해수욕장 도보 4분 ,눌러서 위치보기-319.4km","30,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
19,울산 영남알프스 무인텔 킹,5.0,"홍류 폭포까지 도보 3분, 눌러서 위치확인-292.5km","45,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
20,울산 정자동 베니스,4.8,"정자시장 차로 6분, 눌러서 위치보기-309.7km","50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
21,울산 KTX역 G&G,4.7,"울산KT역 도보3분,눌러서 위치보기-297.5km","50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
22,울산 KTX역 호텔포스,4.9,울산 KTX역 도보7분-297.6km,"50,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
23,울산 울주군 루이스 (Louis),4.8,"등억온천단지 차로 5분, 클릭-295.6km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
24,울산 진장동 그라운드7,4.9,"코스트코 울산점까지 차량3분,눌러서 위치보기-309km","60,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
25,울산 영남알프스 풍경,4.2,"등억리 온천지구까지 차량 3분거리,클릭-293.4km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
26,울산 영남알프스 블루탱,4.8,"간원 자연휴양림에서 차량 6분거리, 눌러서 위치보기-293km","40,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
27,울산 영남알프스 힐,4.4,"등억온천단지 차량 3분, 눌러서 위치보기-293.5km","30,000원",m,동구/북구/울주군(일산/진장/진하/KTX역/영남알프스)
