,name,score,loc,lowest_price,category,loc2,SIG_CD
0,수원(인계동) 베네치아,4.4,수원시청역 6번출구 도보5분-33.4km,30000.0,m,수원 인계/권선/영통,41113
1,수원(인계동) 마레,4.6,수원시청역 6번출구 인근-33.5km,40000.0,m,수원 인계/권선/영통,41113
2,수원(인계동) 앨리스 호텔,4.6,33.5km,45000.0,m,수원 인계/권선/영통,41113
3,수원(인계동) 더 녹스,4.8,분당선 수원시청역 6번 출구-33.5km,40000.0,m,수원 인계/권선/영통,41113
4,수원(인계동) 지오,4.7,수원 KBS 도보  약 10분-33.5km,35000.0,m,수원 인계/권선/영통,41113
5,수원(인계동) 아이리스,4.2,분당선 수원시청역/ 매교역 /매탄권선역-33.5km,29000.0,m,수원 인계/권선/영통,41113
6,수원(인계동) GRACE(그레이스),4.3,수원시청역 6번출구 인근-33.5km,30000.0,m,수원 인계/권선/영통,41113
7,수원(인계동) 뉴엠,4.4,33.6km,40000.0,m,수원 인계/권선/영통,41113
8,수원(인계동) 드림팰리스,4.5,분당선 수원시청역 6번 출구-33.6km,35000.0,m,수원 인계/권선/영통,41113
9,수원(인계동) BOX-ONE,4.4,수원시청역 인근 위치-33.6km,28500.0,m,수원 인계/권선/영통,41113
10,수원(인계동) Jungle(정글),4.2,33.6km,30000.0,m,수원 인계/권선/영통,41113
11,수원(인계동) 레브호텔,4.8,33.6km,40000.0,m,수원 인계/권선/영통,41113
12,수원(인계동) 호텔 퍼시픽37,4.8,"200hz,32인치 게이밍 모니터,2PC-33.7km",40000.0,m,수원 인계/권선/영통,41113
13,수원(인계동) 꿀,4.7,33.7km,30000.0,m,수원 인계/권선/영통,41113
14,수원(인계동) 조이플러스,4.6,분당선 수원시청역9번 출구 도보 7분거리-33.7km,35000.0,m,수원 인계/권선/영통,41113
15,수원 브라운도트 수원인계점  (나혜석거리),4.9,"눌러서 위치찾기 , 나혜석거리 -33.8km",55000.0,m,수원 인계/권선/영통,41113
16,수원(인계동) 호텔 준,4.6,수원시청역 9번출구-33.8km,40000.0,m,수원 인계/권선/영통,41113
17,수원(인계동) 마릴린,4.8,수원시청역 도보 8분 거리-33.8km,40000.0,m,수원 인계/권선/영통,41113
18,수원(인계동) Boutique 엘가,4.3,수원시청 인근 위치-33.8km,33000.0,m,수원 인계/권선/영통,41113
19,수원(인계동) HOTEL JJ,4.7,33.8km,35000.0,m,수원 인계/권선/영통,41113
20,수원시청역 MS 호텔 달곁에별,4.7,수원시청사거리 도보 1분-33.9km,49500.0,m,수원 인계/권선/영통,41113
21,수원(인계동) TATE V,4.5,수원시청역 9번출구 도보3분-33.9km,30000.0,m,수원 인계/권선/영통,41113
22,수원(인계동) 블릭스,4.6,수원시청역 10번출구 도보2분-34km,35000.0,m,수원 인계/권선/영통,41113
23,수원(인계동) 호텔 플렉스,4.6,수원시청역 9번출구 도보1분-34km,30000.0,m,수원 인계/권선/영통,41113
24,수원(인계동) M Story,4.7,34km,30000.0,m,수원 인계/권선/영통,41113
25,수원(인계동) NO.1 넘버원,4.5,수원시청역 인근 위치-34km,30000.0,m,수원 인계/권선/영통,41113
26,수원시청역 보보스,4.7,수원시청역 도보5분이내-34km,45000.0,m,수원 인계/권선/영통,41113
27,수원(인계동) 로제호텔,4.7,경기도 문화의전당 인근위치-34.1km,30000.0,m,수원 인계/권선/영통,41113
28,수원시청역 잼22,4.8,34.1km,35000.0,m,수원 인계/권선/영통,41113
29,수원 YAJA 수원 시청점,4.7,수원시청역 5번출구 500m-34.1km,35000.0,m,수원 인계/권선/영통,41113
30,수원시청역 갤러리아호텔,4.8,수원시청역 도보 5분 이내-34.1km,30000.0,m,수원 인계/권선/영통,41113
31,수원시청역 아지트,4.8,수원시청역 5번출구 도보5분-34.2km,49000.0,m,수원 인계/권선/영통,41113
32,수원 브라운도트 수원시청점(올림픽공원),4.8,34.3km,55000.0,m,수원 인계/권선/영통,41113
33,수원 영통 조이(JOY),4.4,분당선 영통역(경희대) 인근-36km,34200.0,m,수원 인계/권선/영통,41113
34,수원 영통 스테이25,4.7,36km,45000.0,m,수원 인계/권선/영통,41113
35,수원 영통 月 (월),4.7,영통역 1번출구 인근-36.1km,55000.0,m,수원 인계/권선/영통,41113
36,수원 영통 발리3,4.8,36.2km,55000.0,m,수원 인계/권선/영통,41113
37,수원 망포역 더 호텔,4.7,37.1km,45000.0,m,수원 인계/권선/영통,41113
38,수원시청역 메르디,4.6,수원시청역 도보 5분거리!-34.1km,40000.0,m,수원 인계/권선/영통,41113
39,수원(인계동) 넘버25 수원인계점,4.6,"전객실 고사양2PC, 게임룸 5PC-33.6km",45000.0,m,수원 인계/권선/영통,41113
40,수원시청역 JW,4.8,수원시청역 4번 출구 인근-34.2km,45000.0,m,수원 인계/권선/영통,41113
41,수원(인계동) 포유(foryou),4.6,동수원 사거리  도보 약 4분-32.4km,26000.0,m,수원 인계/권선/영통,41113
42,수원 YAM 수원인계점,4.5,32.4km,30000.0,m,수원 인계/권선/영통,41113
43,수원(인계동) 더 스타일,4.7,수원시청역 6번출구 도보5분-33.6km,30000.0,m,수원 인계/권선/영통,41113
44,수원(인계동) Some,4.7,수원시청역 7번출구 도보3분-33.9km,30000.0,m,수원 인계/권선/영통,41113
45,수원(권선동) 블럭24,4.6,34.2km,30000.0,m,수원 인계/권선/영통,41113
46,수원시청 아이스크림,4.7,수원시청역 5번출구 500M-34.1km,30000.0,m,수원 인계/권선/영통,41113
47,수원(인계동) 비비드호텔(VIVID),4.8,32.3km,33000.0,m,수원 인계/권선/영통,41113
48,수원 영통 스카이빈,4.0,36.3km,35000.0,m,수원 인계/권선/영통,41113
49,수원(인계동) 호텔 로와,4.8,나혜석거리에 위치-34.3km,40000.0,m,수원 인계/권선/영통,41113
50,수원(인계동) 자니비,4.7,수원시청역 도보 3분 이내-33.8km,38000.0,m,수원 인계/권선/영통,41113
51,수원(인계동) DUNE45,4.6,수원시청역 도보 약 5분-33.8km,35000.0,m,수원 인계/권선/영통,41113
52,수원(인계동) 리치호텔,4.7,수원시청역 도보 약 7분-33.8km,30000.0,m,수원 인계/권선/영통,41113
53,수원(인계동) Design XYM,4.6,동수원사거리 인근-32.3km,30000.0,m,수원 인계/권선/영통,41113
54,수원 영통 발리2,4.7,"영통역 1,2번출구 도보 7분거리-36.2km",55000.0,m,수원 인계/권선/영통,41113
55,수원시청역 소설 스미스,4.6,34.1km,35000.0,m,수원 인계/권선/영통,41113
