,name,score,loc,lowest_price,category,loc2,SIG_CD
0,창원 용호동 돈 호텔,4.7,"시청 1분,CECO인근,종합운동장 인근-302km",45000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
1,창원 상남동 호텔 JM,4.7,#상남동 중심가 위치!#눌러서위치보기-302.8km,45000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
2,창원 상남동 더 뷰 호텔(The View Hotel),4.4,#상남분수대1분거리-302.8km,45000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
3,창원 상남동 토토스,4.3,고인돌 사거리 인근 위치!눌러서 위치확인-302.8km,35000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
4,창원 상남동 뷰티크호텔 궁(宮),4.9,GRAND OPEN상남분수광장(클릭)-302.8km,40000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
5,창원 상남동 갤러리9,4.7,★코끼리 주차장 이용가능(전차종)★-302.9km,40000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
6,창원 상남동 엔젤(Angel),4.7,#창원 번화가 중심 !! 상남시장 인근-302.9km,40000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
7,창원 상남동 U,4.6,상남오거리 도보 3분★눌러서 위치확인★-302.9km,50000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
8,창원 상남동 25번가 호텔,4.6,"1층 스타벅스, 서브웨이 상남점 위치-302.9km",55000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
9,창원 용호동 인(IN),4.8,용지호수 인근위치 -301.9km,35000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
10,창원 용호동 맥스(MAX),4.9,창원시청 인근 위치-301.9km,43000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
11,창원 용호동 제타(ZETA),4.7,창원시청 도보 1분거리 ★눌러서 위치확인★-301.9km,35000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
12,창원 용호동 카페,4.6,창원광장 5분거리-302km,30000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
13,창원 상남동 하련 디자인호텔,4.7,고인돌 사거리 인근 위치-302.9km,38000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
14,창원 상남동 찰리스,4.7,상남 공영주차장 인근 위치 ★눌러서 위치확인★-302.9km,50000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
15,창원 상남동 몰디브,4.8,상남시장 인근위치 눌러보세요-303km,40000.0,m,창원 상남동/용호동/중앙동/창원시청,48125
16,넘버25 창원명서점(컨벤션점),4.5,신창원역 차량5분!눌러서 위치확인-299.2km,50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
17,창원 명서동 도시여행,4.9,세코(컨벤션센터) 인근위치확인하기-299.2km,55000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
18,창원 봉곡동 HOTEL DAON,4.6,오픈특가이벤트 진행 봉곡동 중심 위치-299.3km,45000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
19,창원 명서동 린경,4.5,창원컨벤션(세코) 인근▶위치확인-299.3km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
20,창원 명서동 호텔 V(브이),4.5,명공광장사거리 인근 위치 위치확인-299.3km,50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
21,창원 명서동 호텔 안단테(Andante),4.7,"컨벤션센터 인근위치, 버스터미널 부근-299.4km",50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
22,창원 명서동 호텔 라온,4.9,"창원컨벤션센터,종합버스터미널 인근신축호텔-299.4km",50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
23,창원 팔용동 프랑,4.7,#창원역 도보 3분거리 : )-296.1km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
24,창원 팔용동 수,4.7,창원역 도보 3분-296.1km,45000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
25,창원 봉곡동 파인에비뉴호텔,4.5,봉곡동 번화가 중심 위치(위치보기)-299.1km,45900.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
26,창원 명서동 하루(HARU),4.7,명곡 광장 사거리 도보 3분!(위치보기)-299.3km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
27,창원 명서동 시카고,4.9,창원 종합 버스터미널 5분-299.3km,50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
28,창원 명서동 호텔 벅스,4.7,"전객실넷플릭스, 컨벤션센터,버스터미널인근-299.4km",40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
29,창원 명서동 브라운도트 창원명서컨벤션점,4.8,세코에서 차로 2분-299.4km,50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
30,창원 명서동 U,4.8,명곡광장사거리 인근 눌러서 위치보기-299.5km,35000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
31,창원 명서동 그레이호텔,4.8,명곡광장사거리 인근 위치눌러서위치확인-299.3km,45000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
32,창원 명서동 호텔 잇츠,4.7,낮숙박 & 레이트체크아웃 EVENT 진행-299.4km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
33,창원 북면 호텔 THE J (더 제이),4.8,"마금산온천관광지, 북면, 풍부한 먹자골목-286.5km",50000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
34,창원 북면 포레스트701,4.3,창원 북면 위치보기!-286.5km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
35,창원 팔용동 현대,4.9,Grand Open 오픈특가 이벤트中#눌러서 위치보기-296km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
36,창원 명서동 YO(요),4.7,창원컨벤션(세코) 인근 위치확인-299.3km,40000.0,m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널,48121
