,name,score,loc,lowest_price,category,loc2,SIG_CD
0,전주 덕진동 호텔 마리(덕진공원점),4.8,"버스터미널(2분),덕진공원(1분),한옥마을(10분)-190.7km",50000.0,m,전주 덕진구,45113
1,전주 덕진동 브라운도트 전주덕진점,4.8,전주역/한옥마을/전북대/시청/터미널10분-190.9km,45000.0,m,전주 덕진구,45113
2,전주 덕진동 자이 무인호텔,4.5,덕진공원 도보 3분/전북대 도보 10분-190.9km,40000.0,m,전주 덕진구,45113
3,전주 덕진동 호텔 히든(HOTEL HIDDEN),4.6,위치바로보기 GOGO-190.9km,40000.0,m,전주 덕진구,45113
4,전주 덕진동 MOMENT 708,4.5,"버스터미널(2분), 종합경기장(1분)-192km",39000.0,m,전주 덕진구,45113
5,전주 금암동 호텔 마리(터미널점),4.7,"버스터미널(1분), 전주역(10분), 한옥마을(10분) 눌러서 위치 확인하기-192.1km",50000.0,m,전주 덕진구,45113
6,전주 산정동 바른 숙박 (BARUN STAY),4.7,전주역2분 한옥마을10분 터미널7분-192.1km,35000.0,m,전주 덕진구,45113
7,전주 산정동 첫번째 호텔,4.7,한옥마을/전주역/버스터미널 근접-192.1km,35000.0,m,전주 덕진구,45113
8,전주 산정동 칸,4.8,한옥마을 10분 전주역 2분 터미널 7분-192.1km,35000.0,m,전주 덕진구,45113
9,전주 금암동 후,4.7,버스터미널1분 전주역10분 한옥마을10분-192.1km,30000.0,m,전주 덕진구,45113
10,전주 산정동 호텔 하루(HOTEL HARU),4.7,한옥마을 10분 전주역 2분 터미널 7분-192.1km,30000.0,m,전주 덕진구,45113
11,전주 금암동 칼튼힐호텔,4.8,전주버스터미널 1분/전북대학교 4분-192.2km,60000.0,m,전주 덕진구,45113
12,전주 산정동 제이즈 호텔,4.6,"한옥마을(10분), 전주역(2분), 전주버스터미널(7분)  클릭하여 바로 위치 확인-192.2km",35000.0,m,전주 덕진구,45113
13,전주 우아동 호텔 루나,4.8,전주역/한옥마을/전북대/시청/터미널 10분 내외  눌러서 위치 확인 GO-193km,35000.0,m,전주 덕진구,45113
