,name,score,loc,lowest_price,category,loc2,SIG_CD
0,제주(탑동) HOTEL W,4.6,제주 공항 차량 10분 이내-452.2km,45000.0,m,제주시,50110
1,제주 체크인,4.4,탑동사거리 인근-452.2km,42000.0,m,제주시,50110
2,제주 스테이 호텔,4.2,제주 관덕정 위치-452.5km,35000.0,m,제주시,50110
3,제주 오렌지트리 호텔&카페,3.9,452.7km,39900.0,m,제주시,50110
4,제주 R&T호텔,4.3,452.8km,37800.0,m,제주시,50110
5,제주(용담) 화이트하우스,4.1,453km,50000.0,m,제주시,50110
6,제주 참피온 호텔,4.2,제주남초등학교 도보 5분-453.1km,30000.0,m,제주시,50110
7,제주 호텔 G,4.6,453.1km,29000.0,m,제주시,50110
8,제주 The M Hotel,4.6,"제주공항 10분이내, 동문상설시장 근접-453.6km",50000.0,m,제주시,50110
9,제주 사하라호텔,4.4,제주 CGV 맞은편에 위치-454km,40000.0,m,제주시,50110
10,제주 에메랄드 에이스 호텔,3.9,454.2km,30000.0,m,제주시,50110
11,제주 에스호텔 (S Hotel),5.0,455km,45000.0,m,제주시,50110
12,제주 미주호텔,4.1,CU 편의점 맞은편-455.1km,32000.0,m,제주시,50110
13,제주 오션패밀리호텔,4.7,공항 10분 거리 위치-455.2km,39600.0,m,제주시,50110
14,제주 퓨어스테이,4.5,제주공항 5분거리-455.2km,39600.0,m,제주시,50110
15,제주 ATnoon,4.5,삼다공원 도보 약 4분-455.4km,39900.0,m,제주시,50110
16,제주 이채 호텔,4.4,455.5km,39000.0,m,제주시,50110
17,제주 아이존,4.3,455.5km,50000.0,m,제주시,50110
18,제주 MJ,4.7,제주한라병원 도보 5분이내-455.5km,33000.0,m,제주시,50110
19,제주 메이저호텔2,4.6,제주공항 인근-455.8km,50000.0,m,제주시,50110
20,제주(신제주) HOTEL W,4.7,455.8km,55000.0,m,제주시,50110
21,제주 샵 모텔,4.5,스타벅스 인근-455.8km,40000.0,m,제주시,50110
22,제주 제이원 호텔,4.7,신제주 제원아파트에서 서쪽으로 50M-455.8km,45000.0,m,제주시,50110
23,제주 F1,4.4,제주 공항 10분거리(신제주 시내)-455.9km,29900.0,m,제주시,50110
24,제주 컬리넌 호텔,4.2,연동사거리 도보 5분 이내-455.9km,49500.0,m,제주시,50110
25,제주 세종호텔,4.2,455.9km,35000.0,m,제주시,50110
26,제주 썬랜드 호텔,4.8,456.1km,35000.0,m,제주시,50110
27,제주 메이저호텔1,4.6,제주공항인근-456.2km,50000.0,m,제주시,50110
28,제주 신제주 노블레스 호텔,4.2,신제주 그랜드호텔 사거리부근-456.2km,55000.0,m,제주시,50110
29,제주 애플호텔,4.0,제주 동부경찰서 맞은편-453.6km,85197.0,m,제주시,50110
30,제주 르네상스 호텔,4.6,"제주공항,시외버스터미널 근처-453.7km",50000.0,m,제주시,50110
31,제주 교래 무인텔,4.6,교래리사무소 인근-461.1km,50000.0,m,제주시,50110
32,제주 라인호텔,4.8,453.7km,50000.0,m,제주시,50110
33,제주 힐링하우스,4.4,454km,35000.0,m,제주시,50110
34,제주 T무인텔,4.8,제주공항에서 20분 거리-455.7km,50000.0,m,제주시,50110
35,제주 해피데이,4.6,455.8km,40000.0,m,제주시,50110
36,제주 사쿠라호텔,3.8,456.1km,45000.0,m,제주시,50110
37,제주 뉴제주호텔,4.8,456km,35000.0,m,제주시,50110
38,제주 영성모텔,3.4,452.6km,30000.0,m,제주시,50110
39,제주 보보스,4.1,탑동 해변공원장 5분-452.3km,85197.0,m,제주시,50110
40,제주 북경모텔,4.8,사라봉오거리 도보 5분-452.1km,35000.0,m,제주시,50110
41,제주 호텔 통,4.0,455.9km,40000.0,m,제주시,50110
42,제주 호텔 비앤비,3.9,삼무공원 인근-455.3km,35000.0,m,제주시,50110
43,제주 호텔 비,3.7,GS25 편의점 맞은편-455.5km,35000.0,m,제주시,50110
44,제주 오크라호텔,4.7,455.5km,25000.0,m,제주시,50110
45,제주 녹원,4.8,454km,33000.0,m,제주시,50110
46,제주 탐라지오 레지던스 호텔,3.5,456km,85197.0,m,제주시,50110
47,제주 메이플호텔,3.5,노형오거리 인근-455.9km,55000.0,m,제주시,50110
48,제주 몽듀호텔,4.9,452.9km,80000.0,m,제주시,50110
49,제주 오라스테이,4.6,제주국제공항 인근-452.5km,30000.0,m,제주시,50110
50,제주 신제주 뉴아일랜드 관광호텔,3.8,456km,25000.0,m,제주시,50110
51,제주 동해호텔,4.6,454.5km,35000.0,m,제주시,50110
52,제주 라임,4.8,454km,85197.0,m,제주시,50110
53,제주 펄 호텔,4.4,연동근린공원 인근-456.1km,40000.0,m,제주시,50110
54,제주 시티홀호텔,4.3,453.9km,55000.0,m,제주시,50110
55,제주 휴,4.6,삼도1동 CGV 인근-454km,33000.0,m,제주시,50110
56,제주 올림피아 호텔,3.9,454.1km,30000.0,m,제주시,50110
57,제주 비치스토리호텔,4.3,448.5km,45000.0,m,제주시,50110
58,제주 스카이리더스,4.1,456.2km,40000.0,m,제주시,50110
59,제주 더오젠,4.7,제주시청 및 사라봉공원 인근-452.8km,40000.0,m,제주시,50110
60,제주 노형호텔,4.5,노형오거리 CGV 3분-455.9km,55000.0,m,제주시,50110
61,제주 슬림 호텔,2.9,454km,85197.0,m,제주시,50110
62,제주 맥스무인텔,4.6,남조로 교차로 인근-456.6km,48000.0,m,제주시,50110
63,제주 뷰띠끄 헤르츠 호텔,4.7,454.3km,60000.0,m,제주시,50110
64,제주 쌈지,4.9,453km,40000.0,m,제주시,50110
65,제주 포시즌호텔,4.6,455.9km,34000.0,m,제주시,50110
66,제주 알리바호텔,3.5,제주 CGV 맞은편에 위치-454km,37000.0,m,제주시,50110
67,제주 동궁모텔,3.4,453km,29000.0,m,제주시,50110
68,제주 베니스호텔,3.0,제주공항 인근-455.9km,35000.0,m,제주시,50110
69,제주 오름,4.8,454km,33000.0,m,제주시,50110
70,제주 어반 아일랜드 호텔,4.5,455.4km,49500.0,m,제주시,50110
71,제주 꼬뜨도르 호텔,3.0,동복리 새마을금고 인근-447.1km,39000.0,m,제주시,50110
72,제주 호텔 엘린,4.7,제주공항에서 차로5분-455.4km,48000.0,m,제주시,50110
73,제주 줄리아나 호텔,3.7,454.2km,35000.0,m,제주시,50110
74,제주 에이원호텔,4.8,신제주시 연동에 위치-455.9km,53000.0,m,제주시,50110
75,제주 로얄호텔,2.9,제주공항 5분거리-455.6km,39000.0,m,제주시,50110
76,제주 올레호텔,5.0,GS25 편의점 인근-455.4km,43000.0,m,제주시,50110
77,제주 올레관광호텔,4.4,제주시외버스터미널 인근-454.1km,35000.0,m,제주시,50110
78,제주 펄리플러스,4.0,453.9km,66000.0,m,제주시,50110
79,제주 심스호텔,4.4,452km,42000.0,m,제주시,50110
80,제주 산지물호텔,3.2,455.8km,30000.0,m,제주시,50110
81,제주 CJ호텔,3.5,제주시청 인근-454km,85197.0,m,제주시,50110
82,제주 씨앤호텔,4.2,455.4km,49900.0,m,제주시,50110
83,제주 골든파크 호텔,4.0,454.2km,33000.0,m,제주시,50110
84,제주 해피호텔,4.0,제주공항에서 10분이내-455.8km,35000.0,m,제주시,50110
85,제주 모나코호텔,3.3,455.5km,30000.0,m,제주시,50110
86,제주 오렌지호텔,3.5,453.9km,45000.0,m,제주시,50110
87,제주 해호텔,2.6,452.1km,45000.0,m,제주시,50110
88,제주 CnJ 관광호텔,3.5,454km,85197.0,m,제주시,50110
89,제주 스위트 호텔,3.5,제주국제공항 차량으로 5분 거리-455.3km,36000.0,m,제주시,50110
90,제주 CAPITAL,5.0,454.2km,40000.0,m,제주시,50110
91,제주(김녕) 빌라드 알리앙스 호텔,3.0,448.6km,240000.0,m,제주시,50110
