,name,score,loc,lowest_price,category,loc2,SIG_CD
0,천안 뷰 호텔,4.8,83.9km,40000.0,m,천안 서북구,44133
1,천안 저스트슬립호텔 천안두정점,4.9,84.7km,50000.0,m,천안 서북구,44133
2,천안 샹그리라,4.8,85km,40000.0,m,천안 서북구,44133
3,천안 KNOX HOTEL,4.7,두정역 1번출구 도보 10분-85.1km,45000.0,m,천안 서북구,44133
4,천안 K2 호텔(게임PC),4.7,85.1km,50000.0,m,천안 서북구,44133
5,천안 브라운도트 천안 성정점,4.8,"조식,배그,VR게임,넷플릭스-85.3km",50000.0,m,천안 서북구,44133
6,천안 제우스,3.7,1호선 두정역 도보 10분-85.3km,30000.0,m,천안 서북구,44133
7,천안 넘버25 천안역점,4.7,천안역 도보 10분-86.8km,40000.0,m,천안 서북구,44133
8,천안 휴 호텔,4.6,86.8km,30000.0,m,천안 서북구,44133
9,천안 NU(엔유) 호텔,4.6,"라면무료,영화방,스타일러,위치확인-86.9km",30000.0,m,천안 서북구,44133
10,천안 브라운도트 천안쌍용점,4.7,88.1km,35000.0,m,천안 서북구,44133
11,천안 St.179 호텔,4.7,분위기 깡패~ 하늘정원 루프탑 20.05.01 그랜드오픈-88.2km,35000.0,m,천안 서북구,44133
12,천안(쌍용동) 호텔 하트,4.9,88.2km,40000.0,m,천안 서북구,44133
13,천안 하루,4.7,85.2km,40000.0,m,천안 서북구,44133
14,천안 클래스,4.7,86.4km,60000.0,m,천안 서북구,44133
15,천안 Show 호텔,4.3,85.2km,50000.0,m,천안 서북구,44133
16,천안 명품 DRIVE IN 무인호텔J,4.9,88.2km,50000.0,m,천안 서북구,44133
17,천안 호텔사랑,4.9,88.1km,35000.0,m,천안 서북구,44133
18,천안 CT 호텔,4.7,86.7km,56000.0,m,천안 서북구,44133
19,천안 노블레스호텔,4.7,두정역 2분거리-84.6km,50000.0,m,천안 서북구,44133
20,천안 호텔 감,4.9,85.3km,50000.0,m,천안 서북구,44133
21,천안 VOLE,4.5,두정 119 안전센터 도보3-85.2km,30000.0,m,천안 서북구,44133
22,천안 새마을,3.5, 눌러서 위치확인 GO( )-71.6km,60486.0,m,천안 서북구,44133
23,천안 성정 피아노,4.4,롯데마트 1분거리-85.3km,30000.0,m,천안 서북구,44133
24,천안 벨리노,4.7,성정사거리 부근-86.8km,35000.0,m,천안 서북구,44133
25,천안 호텔 비지니스,4.7,천안역 2번출구 방향-86.8km,45000.0,m,천안 서북구,44133
26,천안 애플,4.5,천안역 2번출구 도보 10분-87km,35000.0,m,천안 서북구,44133
27,천안 엘리,4.4,천안역 2번 출구-87km,28000.0,m,천안 서북구,44133
28,천안 스위트,4.6,1호선 천안역 도보 10분-86.9km,30000.0,m,천안 서북구,44133
29,천안 닉스폭스,4.6,쌍용역 3분거리-88.1km,35000.0,m,천안 서북구,44133
30,천안 아도니스,4.6,천안역 도보 약15분-86.7km,30000.0,m,천안 서북구,44133
31,천안 K호텔,4.7,"성정공원, 천안축구센터 부근-85.2km",40000.0,m,천안 서북구,44133
32,천안 소풍,4.6,성정사거리 인근-86.8km,30000.0,m,천안 서북구,44133
33,천안 제이탑,4.6,메디케어요양병원 인근-86.4km,50000.0,m,천안 서북구,44133
34,천안 어반트,4.7, 현금 결제시 10%~30% 할인 이벤트 / 010-8403-1737-86.9km,30000.0,m,천안 서북구,44133
35,천안 렉스 호텔,4.6,1호선 천안역 인근-86.9km,30000.0,m,천안 서북구,44133
36,천안 보보스 호텔,4.7,일봉산사거리 인근 위치-88.2km,30000.0,m,천안 서북구,44133
37,천안 달 호텔,4.7,86.4km,60000.0,m,천안 서북구,44133
38,천안 월(月),4.8,84.9km,50000.0,m,천안 서북구,44133
39,천안 소설스미스,4.8,85.2km,50000.0,m,천안 서북구,44133
40,천안 드라파,4.6,88.2km,38000.0,m,천안 서북구,44133
41,천안 발렌타인,4.5,두정역 1번출구 도보 5분거-85km,35000.0,m,천안 서북구,44133
42,천안 성정 J 호텔,4.6,천안역 도보 약 10분-86.9km,30000.0,m,천안 서북구,44133
43,천안 라트리 호텔,4.8,85.3km,60000.0,m,천안 서북구,44133
44,천안 어반스테이,4.6,두정역 도보 15분-85.2km,45000.0,m,천안 서북구,44133
45,천안 호텔 루이스,4.6,성정 사거리 인근-86.8km,28000.0,m,천안 서북구,44133
46,천안 세븐블럭,4.5,85km,60486.0,m,천안 서북구,44133
47,천안 도로시,4.8,85.2km,36000.0,m,천안 서북구,44133
48,천안 자자 호텔,4.7,1호선 두정역 인근-85.2km,50000.0,m,천안 서북구,44133
49,천안 씨티호텔,3.9,쌍용역 1번출구 도보 20분-88.1km,35000.0,m,천안 서북구,44133
50,천안 피카소,4.3,85.2km,30000.0,m,천안 서북구,44133
51,천안 루비,4.2,85.1km,35000.0,m,천안 서북구,44133
52,천안 아지트,4.3,86.4km,39000.0,m,천안 서북구,44133
53,천안 CC 모텔,5.0,82.8km,60486.0,m,천안 서북구,44133
54,천안 MI호텔,4.7,86.2km,50000.0,m,천안 서북구,44133
55,천안 이끌림호텔 천안점,4.8,86.9km,40000.0,m,천안 서북구,44133
56,천안 S,4.2,88.2km,30000.0,m,천안 서북구,44133
57,천안 도쿄 호텔,4.8,쌍용역 인근-88.2km,40000.0,m,천안 서북구,44133
58,천안 Forever22,4.2,84.9km,40000.0,m,천안 서북구,44133
59,천안 세븐,4.9,86.4km,50000.0,m,천안 서북구,44133
60,천안 W,4.6,서부역 1분거리-87km,60486.0,m,천안 서북구,44133
61,천안 호텔 69,3.9,83.8km,40000.0,m,천안 서북구,44133
62,천안 nine9-나인,4.4,천안시청 인근-86.3km,40000.0,m,천안 서북구,44133
63,천안 텐호텔,4.5,77.3km,40000.0,m,천안 서북구,44133
64,천안 타임 호텔,4.4,두정동 롯데마트 인근-85km,50000.0,m,천안 서북구,44133
65,천안 티롤리아,4.8,85.2km,40000.0,m,천안 서북구,44133
66,천안 CF,5.0,86.8km,25000.0,m,천안 서북구,44133
67,천안 굿모닝호텔,3.5,일봉산 사거리 인근-88.2km,40000.0,m,천안 서북구,44133
68,천안 이화,3.7,88km,23000.0,m,천안 서북구,44133
69,천안 칼튼,4.2,87km,25000.0,m,천안 서북구,44133
70,천안 우진모텔,4.3,서부역3분-86.7km,60486.0,m,천안 서북구,44133
71,천안 오엔시티 호텔,4.5,천안시 천안시청 1.14km-86.4km,66000.0,h,천안 서북구,44133
72,신라스테이 천안,4.6,두정역 1번출구 1.28km-85.3km,49720.0,h,천안 서북구,44133
73,천안 뷰 호텔,4.7,두정역 300M이내-83.9km,40000.0,h,천안 서북구,44133
