,name,score,loc,lowest_price,category,loc2,SIG_CD
0,청주 뮤즈,4.6,청주 터미널(5분)-113.5km,33000.0,m,청주 흥덕구/서원구,43112
1,청주 M 시네마,4.6,"버스터미널 도보 3분,서청주 IC 10분-113.5km",35000.0,m,청주 흥덕구/서원구,43112
2,청주 스토리(복대동),4.1,"청주터미널(5분),서청주 IC(5분),하복대 사거리위치-113.6km",30000.0,m,청주 흥덕구/서원구,43112
3,청주 탑 모텔,4.5,터미널 사거리 부근-113.6km,30000.0,m,청주 흥덕구/서원구,43112
4,청주 마리 With JNK,4.8,"서청주IC,차량3분버스터미널 도보5분거리-113.6km",50000.0,m,청주 흥덕구/서원구,43112
5,청주 넘버25 청주터미널점,4.7,-조식안내-  07:00~09:00-113.7km,50000.0,m,청주 흥덕구/서원구,43112
6,청주 메리제인,4.9,113.7km,60000.0,m,청주 흥덕구/서원구,43112
7,청주 호텔 감 (청주 터미널점),4.9,"65inch 스마트TV ,  넷플릭스 , 로렌 윌리엄스 매트리스-113.7km",50000.0,m,청주 흥덕구/서원구,43112
8,청주 니벨룽겐의 반지,4.7,"[SPA HOTEL] ,아로마입욕제 증정-113.7km",40000.0,m,청주 흥덕구/서원구,43112
9,청주 맨하탄,4.6,113.8km,30890.0,m,청주 흥덕구/서원구,43112
10,청주 K7 PC호텔,4.6,113.9km,35000.0,m,청주 흥덕구/서원구,43112
11,청주 RUN & LUCE Business Hotel,4.7,113.9km,40000.0,m,청주 흥덕구/서원구,43112
12,청주 충북대 타임,4.7,OPEN Special Gift-114.1km,35000.0,m,청주 흥덕구/서원구,43112
13,청주 호텔 블랑,4.2,114.1km,27000.0,m,청주 흥덕구/서원구,43112
14,청주 YAM 충북대점,4.7,"넷플릭스,배틀2PC,조식-114.2km",35000.0,m,청주 흥덕구/서원구,43112
15, 청주 Premier Hotel JA,4.8,"조식서비스,넷플릭스,발렛파킹 서비스-114.2km",40000.0,m,청주 흥덕구/서원구,43112
16,청주 이틀 PC HOTEL 충북대점,4.7,최고급 PC / PC방 프로그램 설치-114.2km,40000.0,m,청주 흥덕구/서원구,43112
17,청주 아델,4.9,배틀그라운드 PC 사양 업그레이드 커플PC 설치-114.2km,35000.0,m,청주 흥덕구/서원구,43112
18,청주 호텔 인 모던 청주터미널점,4.9,프리미엄 호텔 인 모던-114.3km,35000.0,m,청주 흥덕구/서원구,43112
19,청주 나인브릿지,4.9,114.3km,40000.0,m,청주 흥덕구/서원구,43112
20,청주 호텔 클래식,4.6,"청주 시외/고속버스터미널 도보 3분 거리 위치, 서청주 IC 차량 5분, 청주공항 챠량 3-114.3km",33000.0,m,청주 흥덕구/서원구,43112
21,청주 저스트스테이호텔 충북대점,4.8,"사창사거리,충북대 병원,청주체육관-114.4km",35000.0,m,청주 흥덕구/서원구,43112
22,청주 벨리노,4.9,"시외,고속버스터미널 인근 도보 3분-114.5km",45000.0,m,청주 흥덕구/서원구,43112
23,청주 호텔 인 카페 터미널점,4.8,청주 시외버스터미널 인근-114.5km,40000.0,m,청주 흥덕구/서원구,43112
24,청주 Xi-an(시안호텔),4.8,청주 터미널 인근 -114.5km,40000.0,m,청주 흥덕구/서원구,43112
25,청주 YAJA 청주터미널점,4.6,"전국 최고 사양 2PC (GTX2060) , 넷플릭스-114.5km",40000.0,m,청주 흥덕구/서원구,43112
26,청주 터미널 칸,4.0,청주시외터미널 도보 5분-114.5km,30000.0,m,청주 흥덕구/서원구,43112
27,청주 남이 G2 무인텔,4.7,121.6km,50000.0,m,청주 흥덕구/서원구,43112
28,청주 브라운도트 청주터미널점(알마호텔),4.7,주차 90대 가능 A.B.C.D 주차장-113.9km,40000.0,m,청주 흥덕구/서원구,43112
29,청주 YA&JA PC Hotel,4.6,최고 사양 2PC (RTX2080)-114.2km,35000.0,m,청주 흥덕구/서원구,43112
30,청주 Hotel 코코 PC Cafe,4.7,"터미널 인근, 네비주소 ( 청주시 흥덕구 짐대로72번길 17 ) -113.7km",40000.0,m,청주 흥덕구/서원구,43112
31,청주 포시즌,4.6,청주 종합운동장인근-114.8km,25000.0,m,청주 흥덕구/서원구,43112
32,청주 호텔 린,4.0,청주시외버스터미널 도보3분-114.3km,35000.0,m,청주 흥덕구/서원구,43112
33,청주 베스트,4.5,"청주 종합체육관, 청주병무청, 예술의전당 도보10~15분-114.8km",25000.0,m,청주 흥덕구/서원구,43112
34,청주 호텔 초콜릿,4.6,리뉴얼 Grand OPEN -113.5km,50000.0,m,청주 흥덕구/서원구,43112
35,청주 YAM 청주터미널점,4.7,"무인기 설치업장 , 넷플릭스  .-113.8km",35000.0,m,청주 흥덕구/서원구,43112
36,청주 호텔 루엠  Hotel Luem,4.6,"조식뷔페 서비스 운영,청주터미널 인근-114.4km",45000.0,m,청주 흥덕구/서원구,43112
37,청주 호텔 오션,4.8,배그 RTX2080-114.5km,43000.0,m,청주 흥덕구/서원구,43112
38,청주 메이저,4.7,청주 최대 대형주차장&안심주차-113.5km,35000.0,m,청주 흥덕구/서원구,43112
39,청주 자바,4.7,청주 터미널 인근-113.8km,30000.0,m,청주 흥덕구/서원구,43112
40,청주 Z HOTEL(제트호텔),4.6,버스터미널 인근-114.5km,35000.0,m,청주 흥덕구/서원구,43112
41,청주 카누,4.8,"터미널 사거리 인근, 올리브영 골목  ""다양한 이벤트 준비중""-114.3km",37000.0,m,청주 흥덕구/서원구,43112
42,청주 엔젤텔,4.7,터미널 사거리 도보 약 5분-113.5km,30000.0,m,청주 흥덕구/서원구,43112
43,청주 옐로 HOTEL,4.6,청주터미널 인근-114.5km,35000.0,m,청주 흥덕구/서원구,43112
44,청주 에버그린,4.3,113.9km,69266.0,m,청주 흥덕구/서원구,43112
45,청주 꿀잠 PC호텔,4.8,113.8km,45000.0,m,청주 흥덕구/서원구,43112
46,청주 티머인 호텔,4.7,113.4km,40000.0,m,청주 흥덕구/서원구,43112
47,청주 미니호텔,4.8,*1층 및 지하주차장 최대 18대 주차가능하며 주차타워 20대 가능 총 38대 실내주차 됩-113.6km,45000.0,m,청주 흥덕구/서원구,43112
48,청주 터미널 두바이,3.5,113.8km,25000.0,m,청주 흥덕구/서원구,43112
49,청주 호텔 IN (아이엔),4.7,113.6km,35000.0,m,청주 흥덕구/서원구,43112
50,청주 짝 (Business),4.7,"대형 주차시설,청주고속터미널 5분,서청주 IC 5분,흥덕구보건소 앞-113.6km",30000.0,m,청주 흥덕구/서원구,43112
51,청주 호텔 버스,4.6,113.7km,69266.0,m,청주 흥덕구/서원구,43112
52,청주 Leaders Hotel (리더스 호텔),4.9,"율량동 5분,지웰시티,서청주IC 10분,터미널 15분,오창 호수공원 10분,청주공항10분-110.9km",70000.0,m,청주 흥덕구/서원구,43112
53,청주 거기,3.5,청주 봉무산 인근-122.5km,30000.0,m,청주 흥덕구/서원구,43112
54,청주 스카이텔,4.8,터미널 인근-114.3km,30000.0,m,청주 흥덕구/서원구,43112
