지역,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울,3.6,8,8,6.7,7.5,6.4,6.7,6.3,6.8,3,7.1
부산,2.6,4.8,5.5,4.8,5,4.3,5.1,5.4,4.8,7,5.3
대구,0.6,3.2,1.9,2.3,1.9,1.8,1.8,2,1.2,1.4,1.7
인천,1.8,2.6,2.2,2.5,2.3,2.3,2.6,3.1,2.7,3.1,3.5
광주,0.4,0.8,1.3,1.6,1.1,1.8,1.7,1.6,1.7,0.9,0.7
대전,0.9,1.1,1.7,2,1.6,2.2,1.6,1.6,1.4,1.6,2.1
울산,0.4,0.9,1,1.1,1.1,0.8,1,1.1,0.9,1,1.1
경기,9.9,10.2,10,10.6,10.4,11,14.2,15,14.5,11.7,15.6
강원,22.5,11.7,13.5,12.3,12.4,15.4,13.7,13.4,13.4,16.2,13.6
충북,4.8,6.4,4.9,5.2,5.3,5,4.7,5.6,4.9,3.6,4.3
충남,8.7,11,9.6,8.7,10.1,10.6,10.1,8.9,9.9,8.3,8.8
전북,5.4,5.6,7.5,7.6,6.7,7,6.2,6.3,6.5,6.3,6.3
전남,8.5,7.8,7.7,9.4,8.6,7.7,8.5,8.5,9.1,9.7,8.4
경북,11.4,11.7,10.4,10,11.2,9.8,8.1,7.6,7.6,9.5,8.6
경남,10.2,9.7,9.5,11,10.6,10.4,9.3,9.1,9.5,11.2,8.6
제주,8.3,4.5,5.3,4.2,4.2,3.5,4.7,4.5,5.1,5.5,4.3
