연도,지역,15~19세,20대,30대,40대,50대,60세 이상,전체
2009,서울,7.1,3.5,2,3.7,5,4.8,4.2
2009,부산,2.7,6.6,2.1,2.6,3.3,3.6,3.1
2009,대구,0.1,0.8,1.2,0.3,0.2,0.4,0.5
2009,인천,1.6,2.9,2,0.9,2.1,1.9,1.7
2009,광주,0.1,0.1,0.7,0.1,0.4,0.1,0.2
2009,대전,0.7,0.4,2,0.9,0.1,1,1.1
2009,울산,0.4,0.7,0.4,0.3,0.2,0.1,0.3
2009,경기,7.4,14,12.1,8.5,5.8,5.5,8.9
2009,강원,19.4,23.6,26,21.2,24.2,21.6,22.7
2009,충북,2.9,3,4.7,5.1,6.1,5.5,4.6
2009,충남,11,8.3,10.5,9.6,6.9,9.8,9.6
2009,전북,6.9,1.9,5.3,7.3,3.3,4,5.4
2009,전남,7.5,8,7.2,9,12.6,9,8.7
2009,경북,13.1,10.2,9.8,11,10.2,12.2,11.1
2009,경남,9.8,9.5,8.3,11.8,12.2,6.8,9.9
2009,제주,9.3,6.5,5.7,7.7,7.4,13.7,8
2010,서울,9.2,8.4,6.3,8.5,9.3,16.4,8.9
2010,부산,4.3,6.8,4.4,5.9,3.9,4.2,4.8
2010,대구,2.9,1.5,3.5,2.9,2.9,2.4,2.9
2010,인천,1.2,2.3,3.1,1.9,7,3.7,3.1
2010,광주,0.9,1.2,0.8,0.7,0.8,1.3,0.8
2010,대전,0.4,1.3,1.3,1.4,0.7,1.9,1.2
2010,울산,0.2,0.5,1.2,1.1,0.9,1.2,0.9
2010,경기,8.6,8.8,13.4,11.4,7.1,9.9,10.5
2010,강원,12.4,12.8,11,13.1,13.9,10.6,12.7
2010,충북,8.5,12.1,6.5,5.2,5.9,3.2,6.3
2010,충남,8.8,12,14.1,9.6,9.5,7.2,10.5
2010,전북,4.2,4.6,6.2,5.6,4.3,5.9,5.3
2010,전남,10.4,6.7,5.3,7.8,8.6,7.5,7.5
2010,경북,13.4,9.4,11.5,12.1,9.9,9.2,11.3
2010,경남,9,7.9,8.6,9.1,10.3,8.3,8.9
2010,제주,5.6,3.7,2.8,3.7,5,7.1,4.4
2011,서울,9.1,9.2,6.7,7.2,6.8,10.9,8
2011,부산,5.6,9.2,5.4,7,5.7,4.4,6.1
2011,대구,1.7,2.6,1.1,2.2,1.8,1.3,1.8
2011,인천,2.4,2.7,3,1.5,2.2,3.8,2.4
2011,광주,2.1,1,0.7,0.8,2.2,1.4,1.3
2011,대전,1.7,1.3,1.3,1.7,1.3,1.7,1.5
2011,울산,0.6,1.8,1.3,1,0.7,1.3,1.1
2011,경기,11.4,8.4,12.3,10.5,7.4,11.7,10.5
2011,강원,14.7,13.6,14.1,13.3,14.7,11.8,13.7
