,랭킹,지역,상호명,업종,주소,경도,위도
0,1,대전,샤브웰 탄방점,뷔페,대전 서구 탄방동,127.39162490000001,36.3450247
1,2,부산,정림한정식,한식,부산 동래구 수안동,129.08497179999998,35.198940500000006
2,3,서울,취영루,중식,강남구 논현동,127.0317166,37.513675799999994
3,4,서울,이천쌀밥한상,한식,송파구 방이동,127.12538740000001,37.515677000000004
4,5,서울,간장게장무한리필,한식,마포구 현석동,126.9343034,37.5421839
5,6,제주,갱이네보말칼국수,한식,제주 제주시 이도이동,126.53943899999999,33.495311699999995
6,7,서울,곰의집,양식,성북구 성북동,126.99291370000002,37.597247100000004
7,8,경기,장미의언덕,한식,경기 과천시 막계동,127.02555090000001,37.4275294
8,9,경남,용감한형제들,양식,경남 통영시 무전동,128.4285903,34.8607441
9,10,서울,동인동,한식,강남구 신사동,127.02650609999999,37.5238058
10,11,경기,강건너빼리,한식,경기 안성시 금광면,127.3442812,36.9816397
11,12,제주,유동커피,카페/주점,제주 서귀포시 서귀동,126.563701,33.2451152
12,13,제주,서연의집,카페/주점,제주 서귀포시 남원읍,126.6661091,33.328321100000004
13,14,강원,길목풍천장어,한식,강원 강릉시 지변동,128.8696781,37.7748691
14,15,충남,느티나무 레스토랑,일식,천안시 서북구 성환읍,127.1283287,36.9321117
15,16,경남,동경일식,일식,창원시 진해구 석동,128.70149890000002,35.1606377
16,17,제주,우리집횟집,일식,제주 제주시 노형동,126.48509550000001,33.448471999999995
17,18,서울,서래본가,한식,서초구 반포동,127.0007619,37.503966
18,19,경기,가평잣두부집,한식,경기 가평군 상면,127.33778729999999,37.7907602
19,20,부산,꾸냥만두,중식,부산 서구 서대신동2가,129.0112024,35.109602
20,21,제주,자매국수 노형점,한식,제주 제주시 노형동,126.48509550000001,33.448471999999995
21,22,경기,청해반점 북수원점,중식,수원시 장안구 파장동,126.99715330000001,37.3218401
22,23,서울,소세지하우스,카페/주점,용산구 원효로2가,126.94526029999999,37.5347225
23,24,서울,명가들깨칼국수,한식,양천구 신정1동,126.85436829999999,37.5185492
24,25,제주,여진떡집,한식,제주 제주시 이도일동,126.52752749999999,33.5054486
25,26,제주,카페물고기,카페/주점,제주 서귀포시 안덕면,126.3476543,33.2926226
26,27,인천,송원식당,한식,인천 서울시 중구 항동7가,126.70530090000001,37.4561358
27,28,경기,불도장(이천),중식,경기 이천시 중리동,127.4409058,37.2751271
28,29,경기,옛날시골밥상,한식,경기 파주시 탄현면,126.71020220000001,37.8050766
29,30,경기,총각손칼국수,한식,용인시 기흥구 신갈동,127.1013935,37.283084
30,31,강원,고려당(GORYO CAFE),베이커리,강원 양양군 양양읍,128.60067800000002,38.091601700000005
31,32,경기,신토불이된장배추국,한식,용인시 처인구 양지면,127.28864209999999,37.2419335
32,33,제주,메밀애,한식,제주 서귀포시 강정동,126.4913111,33.2529765
33,34,제주,꿈꾸는흰당나귀,카페/주점,제주 제주시 이도이동,126.53943899999999,33.495311699999995
34,35,충남,추자횟집,일식,천안시 서북구 불당동,127.1062963,36.8086528
35,36,충남,고구려,한식,천안시 서북구 성정동,127.1404968,36.820989399999995
36,37,경기,봉평메밀곤드레,한식,수원시 영통구 영통동,127.07234059999999,37.2548631
37,38,제주,산지물 탑동본점,한식,제주 제주시 건입동,126.5426562,33.5152292
38,39,제주,순정문어,한식,제주 제주시 용담삼동,126.49568740000001,33.5157766
39,40,제주,봄여름가을겨울,한식,제주 제주시 한림읍,126.2847479,33.3763445
40,41,서울,다이닝인스페이스(Dining in Space),양식,종로구 원서동,126.9882586,37.583926
41,42,서울,사모님돈까스,한식,마포구 상수동,126.92448470000001,37.5466721
42,43,서울,오발탄 서초점,한식,서초구 서초동,127.0168004,37.488377299999996
43,44,강원,강릉짬뽕순두부동화가든,한식,강원 강릉시 초당동,128.9115212,37.7907531
44,45,서울,쿼터백(QUARTERBACK),양식,강남구 역삼동,127.03855349999999,37.500080700000005
45,46,대전,대사봉무쇠솥밥,한식,대전 유성구 갑동,127.288376,36.3670125
46,47,서울,나폴레옹제과점 목동점,베이커리,양천구 목동,126.8745239,37.5360428
47,48,부산,바다장어짚불곰장어,한식,부산 기장군 기장읍,129.20694440000003,35.2259628
48,49,서울,태평양일식 본관,일식,서초구 서초동,127.0168004,37.488377299999996
49,50,서울,삼성빨간양념숯불구이,한식,서울시 중구 북창동,126.9782037,37.5624488
50,51,전북,반야돌솥밥 본점,한식,전주시 완산구 효자동2가,127.09923429999999,35.8057802
51,52,대전,태원,중식,대전 서구 둔산동,127.3890119,36.355799299999994
52,53,서울,무교동유정낙지 서초점,한식,서초구 서초동,127.0168004,37.488377299999996
53,54,강원,14호창성호(설악항활어회센터),한식,강원 속초시 대포동,128.59966609999998,38.1741902
54,55,경기,바위와소나무,한식,경기 남양주시 별내동,127.1144986,37.6662862
55,56,경기,고향집시골밥상한정식,한식,경기 파주시 탄현면,126.71020220000001,37.8050766
56,57,충남,와룡오리섬,한식,천안시 동남구 목천읍,127.21256699999999,36.7884517
57,58,전북,일품횟집,일식,전북 군산시 미장동,126.7284172,35.9637465
58,59,경기,스시노백쉐프 삼송신원 42호점,일식,고양시 덕양구 신원동,126.87985690000001,37.6717426
59,60,경기,경마장오리집,한식,경기 과천시 과천동,126.99675500000001,37.4517612
60,61,울산,바다바라기,일식,울산 북구 정자동,129.442781,35.6154585
61,62,강원,곰배령,한식,강원 춘천시 퇴계동,127.73153119999999,37.8539548
62,63,경기,수와연,한식,경기 광주시 남종면,127.3206926,37.5028601
63,64,강원,대륙해물탕.해물찜,한식,강원 강릉시 포남동,128.9079682,37.7741028
64,65,서울,라칸티나(La Cantina),양식,서울시 중구 을지로1가,126.97921640000001,37.565377000000005
65,66,경남,황우장사,한식,창원시 의창구 북면,128.60597099999998,35.3306181
66,67,경남,서가앤쿡 김해내외점,양식,경남 김해시 내동,128.86318020000002,35.2424772
67,68,서울,황생가칼국수(구 북촌칼국수),한식,종로구 소격동,126.98093529999998,37.5796192
68,69,경기,현리회관,한식,경기 가평군 하면,127.3717584,37.8671094
69,70,충남,서천한우타운,한식,충남 서천군 서천읍,126.7015447,36.085450099999996
70,71,울산,두왕골,한식,울산 남구 두왕동,129.2995375,35.508995500000005
71,72,경기,본수원갈비,한식,수원시 팔달구 우만동,127.0352543,37.2848251
72,73,서울,오월의종,베이커리,용산구 한남동,127.0051795,37.5375402
73,74,경기,옥천냉면,한식,경기 양평군 옥천면,127.48651570000001,37.5517783
74,75,제주,섬오름카페&레스토랑(섬오름호텔),양식,제주 서귀포시 법환동,126.51254990000001,33.2420525
75,76,경기,취영루 이매점,중식,성남시 분당구 이매동,127.13143329999998,37.39597929999999
76,77,서울,여수해변,일식,서초구 반포1동,127.0133685,37.5051352
77,78,경기,전망대누룽지삼계탕,한식,경기 파주시 탄현면,126.71020220000001,37.8050766
78,79,충남,갑사가는길,한식,충남 공주시 반포면,127.23872220000001,36.3840011
79,80,강원,대굴령 민들레동산,한식,강원 강릉시 성산면,128.80315579999998,37.73152460000001
80,81,경남,장어생각,한식,경남 통영시 무전동,128.4285903,34.8607441
81,82,서울,갈비명가이상,한식,성북구 하월곡동,127.0393606,37.6046804
82,83,경남,동경회초밥,일식,경남 진주시 평거동,128.053156,35.169643
83,84,충남,토담집,한식,충남 태안군 태안읍,126.3125879,36.7535161
84,85,전북,한국관 본점,한식,전주시 덕진구 금암동,127.13637290000001,35.8409513
85,86,경기,콩마당,한식,수원시 장안구 파장동,126.99715330000001,37.3218401
86,87,서울,북촌리한정식,한식,종로구 관훈동,126.9846777,37.574155100000006
87,88,경기,산너머남촌,한식,경기 파주시 야당동,126.761595,37.712663899999995
88,89,제주,올랭이와물꾸럭,한식,제주 서귀포시 대정읍,126.24704809999999,33.256444300000005
89,90,충남,통영멸치국수&회국수,한식,천안시 서북구 성정동,127.1404968,36.820989399999995
90,91,경기,장어나라,한식,부천시 오정구 작동,126.8161507,37.513153499999994
91,92,충남,안흥일품꽃게장,한식,충남 서산시 석남동,126.45972379999999,36.7617387
92,93,경기,덕소숯불고기 남양주본점,한식,경기 남양주시 와부읍,127.24710859999999,37.5940244
93,94,경기,고구려 수원점,한식,수원시 영통구 영통동,127.07234059999999,37.2548631
94,95,경기,산사랑,한식,용인시 수지구 고기동,127.0442851,37.3562818
95,96,인천,안스베이커리 구월본점,베이커리,인천 남동구 구월동,126.7111247,37.4487209
96,97,경기,본수원갈비(병점점),한식,경기 화성시 진안동,127.0337632,37.215284999999994
97,98,전북,원조군산아구회집,한식,전북 군산시 조촌동,126.7410781,35.972775299999995
98,99,경기,남촌,한식,수원시 권선구 권선동,127.0269061,37.250011
99,100,강원,송천식당,한식,강원 강릉시 연곡면,128.6944565,37.828093
100,101,경기,모박사,한식,경기 안성시 대덕면,127.2385255,37.0347343
101,102,서울,화로양갈비집,한식,서울시 중구 북창동,126.9782037,37.5624488
102,103,경기,한가네손두부,한식,경기 화성시 봉담읍,126.93923600000001,37.2039155
103,104,부산,숙이네 조개구이,한식,부산 부산진구 부전동,129.0579244,35.1573826
104,105,제주,사계바다,일식,제주 서귀포시 안덕면,126.3476543,33.2926226
105,106,서울,치찌중화식탁,중식,강남구 대치동,127.06334380000001,37.4991896
106,107,서울,고성막국수,한식,서울시 강서구 방화동,126.81392050000001,37.5754101
107,108,제주,사려니숲길화덕피자,양식,제주 제주시 조천읍,126.66745929999999,33.4721683
108,109,경기,육쌈냉면 철산점,한식,경기 광명시 철산동,126.8689179,37.4794222
109,110,경기,프랭크(FRANK) 현대백화점 판교점,베이커리,성남시 분당구 백현동,127.10130840000001,37.3849594
110,111,서울,코코이찌방야 현대아울렛 가산점,일식,금천구 가산동,126.88378119999999,37.476680200000004
111,112,인천,반선,한식,인천 강화군 길상면,126.49808780000001,37.628423100000006
112,113,서울,마오,중식,서초구 양재동,127.03742140000001,37.4719677
113,114,서울,신라호텔 아리아께,일식,서울시 중구 장충동2가,127.0005902,37.554990600000004
114,115,제주,동성수산횟집,한식,제주 서귀포시 대정읍,126.24704809999999,33.256444300000005
115,116,제주,오는정김밥,한식,제주 서귀포시 서귀동,126.563701,33.2451152
116,117,서울,바이킹스워프 영등포점,뷔페,영등포구 영등포동8가,126.9052889,37.528303799999996
117,118,서울,메이다이닝(MAY DINING),양식,도봉구 도봉동,127.02923490000002,37.6848521
118,119,경기,초성공원,한식,고양시 일산동구 백석동,126.7893113,37.6416552
119,120,경기,스시가이센,일식,안양시 동안구 비산동,126.94663909999998,37.4132015
120,121,경기,수원만두,중식,수원시 팔달구 팔달로1가,126.99906010000001,37.269918100000005
121,122,경기,만석풍천민물장어,한식,수원시 장안구 정자동,126.99253470000001,37.297625
122,123,강원,신풍해장국,한식,강원 양양군 현남면,128.7383652,37.938928999999995
123,124,경기,요리샤브샤브&샐러드바,일식,부천시 원미구 중동,126.76923329999998,37.50064520000001
124,125,부산,꿀꿀이뼈다귀해장국,한식,부산 남구 대연동,129.0924621,35.140752
125,126,강원,강릉사천한과,한식,강원 강릉시 사천면,128.8064842,37.799862299999994
126,127,강원,총각네대게 속초중앙점,한식,강원 속초시 중앙동,128.5892197,38.2063715
127,128,서울,도쿄팡야 가로수길점,베이커리,강남구 신사동,127.02650609999999,37.5238058
128,129,서울,58도씨,카페/주점,성북구 안암동5가,127.0283822,37.5884529
129,130,경기,옛집염소탕,한식,경기 이천시 증일동,127.4302922,37.2620285
130,131,부산,대궐쌈밥,한식,부산 수영구 광안동,129.1093639,35.1595545
131,132,서울,선궁,중식,서초구 서초동,127.0168004,37.488377299999996
132,133,충남,서산보리밥,한식,천안시 동남구 봉명동,127.1341426,36.8099311
133,134,충북,단양쏘가리,한식,충북 단양군 단양읍,128.39118670000002,36.9609258
134,135,서울,압구정샤브샤브(압구정 본점),한식,강남구 신사동,127.02650609999999,37.5238058
135,136,강원,사천항주문진물회,일식,강원 강릉시 사천면,128.8064842,37.799862299999994
136,137,경남,산밭골횟집,일식,창원시 마산합포구 진전면,128.40283440000002,35.1312689
137,138,경기,서울24시감자탕,한식,수원시 영통구 망포동,127.05199979999999,37.2399421
138,139,경기,할머니밥상,한식,경기 광명시 일직동,126.8826245,37.4199304
139,140,강원,래원 본점,중식,강원 동해시 천곡동,129.0987282,37.520571600000004
140,141,경기,서일농원,한식,경기 안성시 일죽면,127.4687571,37.0983292
141,142,충남,대천횟집,일식,충남 보령시 신흑동,126.5259243,36.31762
142,143,서울,몽중헌 안국점,중식,종로구 화동,126.98273219999999,37.5806889
143,144,제주,고엔,일식,제주 서귀포시 동홍동,126.5519044,33.2954501
144,145,서울,베이징코야 강남점,중식,강남구 역삼동,127.03855349999999,37.500080700000005
145,146,경기,광릉불고기,한식,경기 포천시 일동면,127.32430520000001,37.9642812
146,147,제주,어부지리,한식,제주 제주시 노형동,126.48509550000001,33.448471999999995
147,148,제주,쌍둥이횟집,일식,제주 서귀포시 서귀동,126.563701,33.2451152
