,name,type,review,area
0,경복궁,역사적인 장소 • 역사박물관,"10,653",서울
1,북한산 국립공원,국립공원,"1,093",서울
2,명동 쇼핑 거리,인근 지역 • 즐길거리 & 랜드마크,"10,355",서울
3,창덕궁,역사적인 장소 • 건축물,"4,612",서울
4,한국 전쟁 기념관,군사 박물관,"4,268",서울
5,국립중앙박물관,역사박물관,"2,362",서울
6,인사동,인근 지역 • 즐길거리 & 랜드마크,"6,415",서울
7,트릭아이뮤지엄 서울,전문 박물관,"1,526",서울
8,롯데월드타워&몰,즐길거리 & 랜드마크 • 전망대 & 타워,803,서울
9,KTX,공공 교통시스템,"1,090",서울
10,서울메트로,공공 교통시스템,"12,701",서울
11,한강 공원,공원,"1,569",서울
12,N 서울 타워,즐길거리 & 랜드마크 • 전망대,"9,455",서울
13,남산 공원,공원 • 가든,"2,213",서울
14,명동난타극장,시어터,519,서울
15,청계천,물길 • 유서 깊은 산책로,"3,945",서울
16,조계사,종교적인 장소 • 기념비 및 동상,"1,007",서울
17,봉은사,즐길거리 & 랜드마크 • 종교적인 장소,"1,298",서울
18,하늘공원,공원,303,서울
19,북촌 한옥마을,인근 지역 • 즐길거리 & 랜드마크,"5,249",서울
20,홍대앞 거리,즐길거리 & 랜드마크,"2,256",서울
21,이화여자대학교,즐길거리 & 랜드마크 • 대학 & 학교,909,서울
22,동대문 디자인 플라자,즐길거리 & 랜드마크 • 건축물,"2,208",서울
23,별마당 도서관,도서관,307,서울
24,광장시장,즐길거리 & 랜드마크 • 벼룩시장 & 재래시장,"2,305",서울
25,러브뮤지엄,전문 박물관,131,서울
26,서울숲,공원 • 놀이터,370,서울
27,여의도 한강공원,공원,644,서울
28,삼성미술관 리움,아트뮤지엄,742,서울
29,서울스카이,전망대 & 타워,247,서울
30,덕수궁,역사적인 장소 • 즐길거리 & 랜드마크,"1,073",서울
31,여의도 공원,공원,706,서울
32,올림픽 공원,스포츠 컴플렉스 • 공원,706,서울
33,명동 성당,종교적인 장소 • 교회 & 성당,"1,093",서울
34,서울 어린이 대공원,놀이공원 & 테마파크 • 공원,378,서울
35,롯데월드 아쿠아리움,수족관,154,서울
