,name,type,review,area
0,서울메트로,교통서비스,12701.0,서울
1,경복궁,전시/극장/공연,10653.0,서울
2,명동 쇼핑 거리,즐길거리/랜드마크,10355.0,서울
3,N 서울 타워,전망대,9455.0,서울
4,인사동,즐길거리/랜드마크,6415.0,서울
5,북촌 한옥마을,즐길거리/랜드마크,5249.0,서울
6,창덕궁,즐길거리/랜드마크,4612.0,서울
7,한국 전쟁 기념관,전시/극장/공연,4268.0,서울
8,청계천,자연/공원,3945.0,서울
9,케이투어스토리,행사/투어,3629.0,서울
10,해운대,자연/공원,3410.0,부산
11,롯데월드,테마파크/게임,3147.0,서울
12,감천 문화마을,시장,2957.0,부산
13,남대문시장,시장,2893.0,서울
14,국립중앙박물관,전시/극장/공연,2362.0,서울
15,광장시장,시장,2305.0,서울
16,해동 용궁사,즐길거리/랜드마크,2286.0,부산
17,홍대앞 거리,즐길거리/랜드마크,2256.0,서울
18,남산 공원,자연/공원,2213.0,서울
19,동대문 디자인 플라자,즐길거리/랜드마크,2208.0,서울
20,성산 일출봉,자연/공원,2014.0,제주도
21,남이섬,자연/공원,1881.0,강원도
22,쿠킹 난타,전시/극장/공연,1879.0,서울
23,에버랜드,테마파크/게임,1804.0,경기도
24,자갈치 시장,시장,1658.0,부산
25,한강 공원,자연/공원,1569.0,서울
26,트릭아이뮤지엄 서울,전시/극장/공연,1526.0,서울
27,BIFF 광장,즐길거리/랜드마크,1331.0,부산
28,디스 이즈 코리아 투어,행사/투어,1322.0,서울
29,봉은사,즐길거리/랜드마크,1298.0,서울
30,만장굴,자연/공원,1295.0,제주도
31,불국사,즐길거리/랜드마크,1273.0,경상북도
32,온고 푸드 커뮤니케이션즈,행사/투어,1147.0,서울
33,천지연 폭포,자연/공원,1128.0,제주도
34,용두산 공원,자연/공원,1122.0,부산
35,오설록 티 뮤지엄,전시/극장/공연,1119.0,제주도
36,명동 성당,즐길거리/랜드마크,1093.0,서울
37,북한산 국립공원,자연/공원,1093.0,서울
38,KTX,교통서비스,1090.0,서울
39,한라산 국립공원,자연/공원,1074.0,제주도
40,덕수궁,즐길거리/랜드마크,1073.0,서울
